wall_time,elapsed_s,epoch,global_step,step_in_epoch,loss,batch_acc,running_loss,running_acc,lr,samples_per_s,gpu_alloc_mb
11.33,11.33,1,1,1,1.581949,0.25,1.581949,0.25,5e-05,13.0,3069.8
11.58,11.58,1,2,2,1.568347,0.375,1.575148,0.3125,5e-05,62.22,3068.4
11.82,11.82,1,3,3,1.55119,0.25,1.567162,0.291667,5e-05,68.45,3069.1
12.12,12.12,1,4,4,1.545987,0.1875,1.561868,0.265625,5e-05,53.25,3068.4
12.35,12.35,1,5,5,1.560416,0.25,1.561578,0.2625,5e-05,67.23,3069.1
12.58,12.58,1,6,6,1.572021,0.1875,1.563318,0.25,5e-05,69.77,3068.4
12.84,12.84,1,7,7,1.674441,0.375,1.579193,0.267857,5e-05,62.09,3069.1
13.1,13.1,1,8,8,1.537316,0.3125,1.573958,0.273438,5e-05,61.44,3068.4
13.34,13.34,1,9,9,1.690198,0.1875,1.586874,0.263889,5e-05,67.88,3069.1
13.6,13.6,1,10,10,1.500254,0.25,1.578212,0.2625,5e-05,61.41,3068.4
13.86,13.86,1,11,11,1.59779,0.25,1.579992,0.261364,5e-05,60.86,3069.1
14.1,14.1,1,12,12,1.493886,0.3125,1.572816,0.265625,5e-05,67.8,3068.4
14.35,14.35,1,13,13,1.437652,0.4375,1.562419,0.278846,5e-05,63.97,3069.1
14.58,14.58,1,14,14,1.437158,0.375,1.553472,0.285714,5e-05,68.11,3068.4
14.8,14.8,1,15,15,1.529274,0.3125,1.551859,0.2875,5e-05,71.97,3069.1
15.08,15.08,1,16,16,1.493964,0.1875,1.54824,0.28125,5e-05,58.9,3068.4
15.33,15.33,1,17,17,1.479372,0.4375,1.544189,0.290441,5e-05,64.05,3069.1
15.56,15.56,1,18,18,1.638559,0.375,1.549432,0.295139,5e-05,67.1,3068.4
15.84,15.84,1,19,19,1.440794,0.5,1.543714,0.305921,5e-05,58.79,3069.1
16.18,16.18,1,20,20,1.371534,0.4375,1.535105,0.3125,5e-05,46.58,3068.4
16.41,16.41,1,21,21,1.417499,0.5625,1.529505,0.324405,5e-05,68.55,3069.1
16.63,16.63,1,22,22,1.368544,0.3125,1.522188,0.323864,5e-05,73.44,3068.4
16.91,16.91,1,23,23,1.495523,0.25,1.521029,0.320652,5e-05,58.1,3069.1
17.18,17.18,1,24,24,1.450395,0.375,1.518086,0.322917,5e-05,58.17,3068.4
17.4,17.4,1,25,25,1.480977,0.3125,1.516602,0.3225,5e-05,73.91,3069.1
17.62,17.62,1,26,26,1.316469,0.5,1.508904,0.329327,5e-05,70.92,3068.4
17.87,17.87,1,27,27,1.536618,0.25,1.509931,0.326389,5e-05,65.38,3069.1
