elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.8,0.0,2077.88032,0,4426,51,3069.1,3955.2
30.8,236.9,2097.3568,88,4432,67,3068.4,3955.2
45.8,235.3,2111.217664,71,4417,63,2878.8,3955.2
60.9,222.8,2114.596864,82,4416,70,2410.7,3955.2
75.9,268.4,2148.675584,17,4432,55,3068.4,3976.2
90.9,220.8,2152.460288,82,4432,67,3068.4,3976.2
105.9,236.0,2147.770368,45,4441,57,3068.4,3976.2
121.0,240.4,2156.6464,26,4561,56,3068.4,3976.2
136.0,266.0,2122.227712,14,4523,52,3063.7,3976.2
151.0,221.6,2151.002112,99,4575,69,3069.1,3976.2
166.0,240.7,2111.63136,20,4570,60,3069.1,3976.2
181.1,240.4,2148.37248,27,4549,58,3068.4,3976.2
196.1,264.4,2151.944192,40,4538,67,3069.1,3976.2
211.1,235.0,2149.081088,4,4533,59,3068.4,3976.2
226.1,218.8,2156.634112,83,4535,68,3068.4,3976.2
241.2,219.4,2125.914112,92,4553,72,3069.1,3976.2
256.2,233.5,2155.364352,18,4545,60,3068.4,3976.2
271.2,272.3,2153.443328,68,4570,65,3069.1,3976.2
286.2,234.4,2156.990464,14,4568,58,2406.3,3976.2
301.2,209.6,2134.216704,2,4546,55,3069.1,3976.2
316.3,231.4,2127.183872,14,4545,59,3069.1,3976.2
331.3,275.1,2137.821184,32,4897,60,3061.9,4332.7
