elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.9,0.0,846.876672,9,1117,48,0.0,0.0
31.0,0.9,846.921728,5,1113,48,0.0,0.0
46.0,0.8,846.9504,18,1107,48,0.0,0.0
61.0,0.9,846.99136,28,1115,48,0.0,0.0
76.0,1.1,846.99136,5,1133,48,0.0,0.0
91.0,1.0,846.999552,5,1131,48,0.0,0.0
106.1,1.0,847.015936,17,1102,48,0.0,0.0
121.1,1.5,847.040512,30,1112,49,0.0,0.0
136.1,1.5,847.077376,12,1107,48,0.0,0.0
151.2,1.7,847.085568,16,1105,48,0.0,0.0
166.2,1.7,847.097856,16,1105,48,0.0,0.0
181.2,1.6,847.101952,17,1126,48,0.0,0.0
196.2,1.9,847.101952,8,1140,48,0.0,0.0
211.2,1.6,847.101952,7,1136,49,0.0,0.0
226.3,1.5,847.122432,9,1085,49,0.0,0.0
241.3,1.7,847.159296,7,1093,49,0.0,0.0
256.3,1.7,847.183872,5,1082,49,0.0,0.0
271.3,1.3,847.183872,16,1080,49,0.0,0.0
286.4,1.2,847.192064,27,1080,50,0.0,0.0
301.4,1.5,847.200256,17,1052,49,0.0,0.0
316.4,1.7,847.200256,17,1050,50,0.0,0.0
331.4,1.7,847.200256,7,1050,50,0.0,0.0
346.4,1.6,847.200256,19,1067,50,0.0,0.0
361.5,1.9,847.204352,4,1055,50,0.0,0.0
376.5,1.4,847.241216,3,1060,49,0.0,0.0
391.5,1.6,847.27808,8,1052,50,0.0,0.0
406.5,1.7,847.286272,4,1060,49,0.0,0.0
421.6,4.8,1780.056064,6,1072,50,0.0,0.0
437.5,100.6,2352.29184,100,3117,72,996.4,1965.0
