wall_time,elapsed_s,epoch,global_step,step_in_epoch,loss,batch_acc,running_loss,running_acc,lr,samples_per_s,gpu_alloc_mb
8.01,8.01,1,1,1,1.923707,0.34375,1.923707,0.34375,3.7037037037037037e-05,214.36,688.5
8.07,8.07,1,2,2,1.82629,0.328125,1.874999,0.335938,5.555555555555555e-05,1097.44,688.5
8.12,8.12,1,3,3,1.788816,0.328125,1.846271,0.333333,7.407407407407407e-05,1120.88,688.5
8.18,8.18,1,4,4,1.951584,0.25,1.872599,0.3125,9.259259259259259e-05,1092.51,688.5
8.62,8.62,1,5,5,1.680273,0.34375,1.834134,0.31875,0.0001111111111111111,1111.15,688.5
8.68,8.68,1,6,6,1.718989,0.34375,1.814943,0.322917,0.00012962962962962963,1091.21,688.5
8.74,8.74,1,7,7,1.64031,0.375,1.789996,0.330357,0.00014814814814814815,1116.9,688.5
8.8,8.8,1,8,8,1.356669,0.4375,1.73583,0.34375,0.00016666666666666666,1123.33,688.5
9.36,9.36,1,9,9,1.300388,0.484375,1.687448,0.359375,0.00018518518518518518,1112.14,688.5
9.42,9.42,1,10,10,1.302596,0.46875,1.648962,0.370312,0.0002037037037037037,1099.43,688.5
9.48,9.48,1,11,11,1.420794,0.390625,1.62822,0.372159,0.0002222222222222222,1116.71,688.5
9.54,9.54,1,12,12,1.226269,0.5,1.594724,0.382812,0.00024074074074074072,1127.87,688.5
10.09,10.09,1,13,13,1.297733,0.53125,1.571878,0.394231,0.00025925925925925926,1110.09,688.5
10.15,10.15,1,14,14,1.475512,0.34375,1.564995,0.390625,0.0002777777777777778,1091.97,688.5
10.21,10.21,1,15,15,1.361548,0.453125,1.551432,0.394792,0.0002962962962962963,1125.45,688.5
10.38,10.38,1,16,16,1.334975,0.4375,1.537903,0.397461,0.0003148148148148148,1122.02,688.5
10.82,10.82,1,17,17,1.321402,0.40625,1.525168,0.397978,0.0003333333333333333,1090.8,688.5
10.87,10.87,1,18,18,1.385644,0.421875,1.517417,0.399306,0.0003518518518518519,1117.29,688.5
10.93,10.93,1,19,19,1.426412,0.453125,1.512627,0.402138,0.00037037037037037035,1125.46,688.5
11.22,11.22,1,20,20,1.415014,0.421875,1.507746,0.403125,0.0003888888888888889,1100.72,688.5
11.67,11.67,1,21,21,1.285103,0.46875,1.497144,0.40625,0.0004074074074074074,1099.54,688.5
11.72,11.72,1,22,22,1.16811,0.515625,1.482188,0.411222,0.00042592592592592595,1097.99,688.5
11.78,11.78,1,23,23,1.177213,0.5,1.468928,0.415082,0.0004444444444444444,1075.2,688.5
12.08,12.08,1,24,24,1.273316,0.515625,1.460778,0.419271,0.000462962962962963,1107.82,688.5
12.42,12.42,1,25,25,1.171457,0.5625,1.449205,0.425,0.00048148148148148144,1120.26,688.5
12.48,12.48,1,26,26,1.008965,0.65625,1.432273,0.433894,0.0005,1081.77,688.5
12.54,12.54,1,27,27,1.186187,0.515625,1.423158,0.436921,0.0005185185185185185,1089.13,688.5
12.97,12.97,1,28,28,1.304103,0.484375,1.418906,0.438616,0.0005370370370370371,1117.51,688.5
13.25,13.25,1,29,29,1.091647,0.625,1.407622,0.445043,0.0005555555555555556,1094.08,688.5
13.31,13.31,1,30,30,0.914097,0.65625,1.391171,0.452083,0.0005740740740740741,1102.79,688.5
13.37,13.37,1,31,31,1.003035,0.625,1.37865,0.457661,0.0005925925925925926,1090.2,688.5
13.96,13.96,1,32,32,1.031387,0.625,1.367798,0.462891,0.0006111111111111112,1097.59,688.5
14.21,14.21,1,33,33,1.12243,0.421875,1.360363,0.461648,0.0006296296296296296,1107.89,688.5
14.27,14.27,1,34,34,1.136219,0.484375,1.35377,0.462316,0.0006481481481481481,1106.63,688.5
14.33,14.33,1,35,35,1.065964,0.65625,1.345547,0.467857,0.0006666666666666666,1081.66,688.5
14.82,14.82,1,36,36,0.977218,0.578125,1.335316,0.47092,0.0006851851851851853,1107.3,688.5
15.11,15.11,1,37,37,0.956803,0.640625,1.325086,0.475507,0.0007037037037037038,1124.14,688.5
15.17,15.17,1,38,38,1.023868,0.59375,1.317159,0.478618,0.0007222222222222222,1077.53,688.5
15.23,15.23,1,39,39,1.103342,0.640625,1.311677,0.482772,0.0007407407407407407,1115.4,688.5
15.65,15.65,1,40,40,1.015504,0.609375,1.304272,0.485938,0.0007592592592592593,1086.37,688.5
16.0,16.0,1,41,41,1.010812,0.609375,1.297115,0.488948,0.0007777777777777778,1120.74,688.5
16.06,16.06,1,42,42,1.099912,0.546875,1.29242,0.490327,0.0007962962962962962,1111.34,688.5
16.13,16.13,1,43,43,0.817275,0.6875,1.28137,0.494913,0.0008148148148148148,1092.92,688.5
16.54,16.54,1,44,44,1.191633,0.609375,1.27933,0.497514,0.0008333333333333334,1100.11,688.5
16.98,16.98,1,45,45,0.946331,0.625,1.27193,0.500347,0.0008518518518518519,1065.99,688.5
17.04,17.04,1,46,46,1.139707,0.59375,1.269056,0.502378,0.0008703703703703704,1089.91,688.5
17.1,17.1,1,47,47,1.133858,0.609375,1.266179,0.504654,0.0008888888888888888,1097.58,688.5
17.38,17.38,1,48,48,0.817502,0.71875,1.256832,0.509115,0.0009074074074074074,1126.43,688.5
17.67,17.67,1,49,49,0.975395,0.640625,1.251088,0.511798,0.000925925925925926,1095.43,688.5
17.73,17.73,1,50,50,0.998407,0.625,1.246035,0.514062,0.0009444444444444445,1125.49,688.5
17.79,17.79,1,51,51,1.085414,0.578125,1.242885,0.515319,0.0009629629629629629,1082.51,688.5
18.19,18.19,1,52,52,0.972584,0.671875,1.237687,0.518329,0.0009814814814814816,1120.4,688.5
18.49,18.49,1,53,53,1.007543,0.609375,1.233345,0.520047,0.001,1109.5,688.5
18.54,18.54,1,54,54,3.028397,0.0,1.266586,0.510417,0.001,22.26,650.5
22.29,22.29,2,55,1,0.912636,0.65625,0.912636,0.65625,0.000999989553622803,1111.55,688.5
22.35,22.35,2,56,2,1.002173,0.609375,0.957405,0.632812,0.0009999582149277186,1084.64,688.5
22.41,22.41,2,57,3,1.172021,0.53125,1.028943,0.598958,0.0009999059852242506,1111.15,688.5
22.47,22.47,2,58,4,1.013731,0.5625,1.02514,0.589844,0.0009998328666948437,1118.29,688.5
23.12,23.12,2,59,5,0.839574,0.640625,0.988027,0.6,0.0009997388623947927,1088.48,688.5
23.18,23.18,2,60,6,0.906114,0.65625,0.974375,0.609375,0.000999623976252115,1119.68,688.5
23.23,23.23,2,61,7,0.904352,0.609375,0.964372,0.609375,0.0009994882130673868,1115.24,688.5
23.29,23.29,2,62,8,0.874521,0.671875,0.95314,0.617188,0.0009993315785135415,1107.12,688.5
23.92,23.92,2,63,9,0.684609,0.75,0.923304,0.631944,0.0009991540791356342,1105.0,688.5
23.98,23.98,2,64,10,0.895285,0.671875,0.920502,0.635938,0.000998955722350566,1117.88,688.5
24.03,24.03,2,65,11,0.807416,0.6875,0.910221,0.640625,0.0009987365164467767,1096.17,688.5
24.09,24.09,2,66,12,0.889142,0.6875,0.908465,0.644531,0.000998496470583896,1117.79,688.5
24.69,24.69,2,67,13,1.011748,0.640625,0.916409,0.644231,0.000998235594792363,1107.26,688.5
24.75,24.75,2,68,14,0.908864,0.65625,0.91587,0.645089,0.0009979538999730047,1097.83,688.5
24.81,24.81,2,69,15,1.142368,0.578125,0.93097,0.640625,0.0009976513978965829,1087.03,688.5
24.87,24.87,2,70,16,0.689981,0.765625,0.915909,0.648438,0.0009973281012033007,1059.26,688.5
25.37,25.37,2,71,17,0.746042,0.78125,0.905916,0.65625,0.000996984023402275,1118.82,688.5
