epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
0,,,0.361761,0.312544,0.296331,0.428281,0.391779,1.134967,1.8518518518518518e-05,0.0,0.0,0.0,,False
1,1.266586,0.510417,0.614856,0.618932,0.601107,0.644493,0.637848,0.866643,0.001,11.82,2.72,14.54,1833.5,True
2,0.860654,0.653646,0.676754,0.686384,0.679781,0.716289,0.674246,0.820773,0.0009698463103929542,11.31,2.69,14.0,1833.5,True
3,0.664939,0.740162,0.683631,0.69593,0.687548,0.710377,0.690615,0.781192,0.000883022221559489,11.36,2.66,14.02,1833.5,True
4,0.439751,0.83912,0.668501,0.668732,0.658979,0.685802,0.679678,0.764561,0.00075,11.49,3.04,14.53,1833.5,False
5,0.239939,0.927662,0.658872,0.670015,0.660724,0.67672,0.667001,0.803213,0.0005868240888334653,11.92,2.66,14.58,1833.5,False
6,0.087213,0.981192,0.651994,0.660953,0.651343,0.676765,0.658251,0.847914,0.00041317591116653486,11.43,2.7,14.13,1833.5,False
7,0.028956,0.995949,0.671252,0.682378,0.671916,0.686746,0.684667,0.763725,0.0002500000000000001,11.39,2.66,14.05,1833.5,False
8,0.009355,0.998553,0.676754,0.688357,0.67814,0.693623,0.686878,0.737434,0.00011697777844051105,11.41,2.67,14.08,1833.5,False
9,0.004244,0.999421,0.679505,0.692717,0.683039,0.70044,0.68775,0.754505,3.0153689607045842e-05,11.59,2.7,14.29,1833.5,False
10,0.003421,0.999711,0.685007,0.698091,0.68798,0.704443,0.693993,0.738196,0.0,11.44,3.37,14.82,1833.5,True
