elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.0,0.0,2509.664256,1,2897,52,688.5,2007.0
30.1,34.3,2553.15968,0,2849,50,688.5,2015.4
45.1,34.4,2619.5968,62,2903,54,688.5,2015.4
60.1,35.7,2619.670528,15,2847,62,688.5,2015.4
75.2,34.3,2618.810368,96,2912,56,688.5,2015.4
90.2,35.6,2618.814464,24,2854,63,650.5,2015.4
105.2,34.3,2617.929728,1,2827,52,689.1,2015.4
120.2,34.6,2617.970688,1,2782,51,689.1,2015.4
135.2,35.2,2617.987072,2,2859,52,650.5,2015.4
150.3,33.5,2618.01984,1,2799,51,640.4,2015.4
