wall_time,elapsed_s,epoch,global_step,step_in_epoch,loss,batch_acc,running_loss,running_acc,lr,samples_per_s,gpu_alloc_mb
20.41,20.41,1,1,1,1.333691,0.5,1.333691,0.5,1.8691588785046727e-05,30.99,1801.5
21.13,21.13,1,2,2,1.950328,0.3125,1.64201,0.40625,2.8037383177570094e-05,44.76,1801.5
21.86,21.86,1,3,3,1.774689,0.34375,1.686236,0.385417,3.7383177570093454e-05,43.98,1801.5
22.35,22.35,1,4,4,1.365378,0.53125,1.606022,0.421875,4.672897196261682e-05,64.81,1801.5
22.84,22.84,1,5,5,1.438447,0.5625,1.572507,0.45,5.607476635514019e-05,65.41,1801.5
23.33,23.33,1,6,6,1.476508,0.53125,1.556507,0.463542,6.542056074766355e-05,65.91,1801.5
23.81,23.81,1,7,7,1.460879,0.375,1.542846,0.450893,7.476635514018691e-05,66.19,1801.5
24.3,24.3,1,8,8,1.66901,0.4375,1.558616,0.449219,8.411214953271028e-05,65.98,1801.5
24.78,24.78,1,9,9,1.56519,0.375,1.559347,0.440972,9.345794392523364e-05,66.28,1801.5
25.27,25.27,1,10,10,1.339779,0.46875,1.53739,0.44375,0.00010280373831775701,65.3,1801.5
25.76,25.76,1,11,11,1.409328,0.40625,1.525748,0.440341,0.00011214953271028037,65.42,1801.5
26.25,26.25,1,12,12,1.361366,0.4375,1.51205,0.440104,0.00012149532710280373,65.94,1801.5
26.73,26.73,1,13,13,1.776868,0.3125,1.53242,0.430288,0.0001308411214953271,66.0,1801.5
27.22,27.22,1,14,14,1.103719,0.59375,1.501799,0.441964,0.00014018691588785047,66.09,1801.5
27.71,27.71,1,15,15,1.083901,0.65625,1.473939,0.45625,0.00014953271028037381,65.5,1801.5
28.19,28.19,1,16,16,1.165989,0.53125,1.454692,0.460938,0.0001588785046728972,65.51,1801.5
28.7,28.7,1,17,17,1.05936,0.5625,1.431437,0.466912,0.00016822429906542056,63.32,1801.5
29.21,29.21,1,18,18,1.168273,0.5,1.416817,0.46875,0.0001775700934579439,62.94,1801.5
29.76,29.76,1,19,19,1.261961,0.40625,1.408667,0.465461,0.00018691588785046728,58.47,1801.5
30.27,30.27,1,20,20,1.376183,0.59375,1.407042,0.471875,0.00019626168224299065,62.92,1801.5
30.75,30.75,1,21,21,1.127915,0.59375,1.393751,0.477679,0.00020560747663551403,66.37,1801.5
31.23,31.23,1,22,22,1.372339,0.5625,1.392777,0.481534,0.00021495327102803737,66.58,1801.5
31.71,31.71,1,23,23,1.12387,0.5625,1.381086,0.485054,0.00022429906542056075,66.64,1801.5
32.2,32.2,1,24,24,1.220007,0.59375,1.374374,0.489583,0.00023364485981308412,65.24,1801.5
