epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
0,,,0.42641,0.381802,0.362586,0.460382,0.456366,1.061581,9.345794392523363e-06,0.0,0.0,0.0,,False
1,1.032513,0.611857,0.691884,0.70975,0.700995,0.747492,0.695242,0.791005,0.001,55.94,5.4,61.34,9241.8,True
2,0.71964,0.731016,0.72077,0.733715,0.725078,0.743761,0.727802,0.691313,0.0009698463103929542,68.0,5.59,73.59,9241.8,True
3,0.486443,0.819217,0.700138,0.704054,0.69659,0.732245,0.699402,0.776949,0.000883022221559489,52.85,5.33,58.18,9241.8,False
4,0.222795,0.918808,0.697387,0.710164,0.70119,0.72391,0.703234,0.760053,0.00075,52.26,5.3,57.56,9241.8,False
5,0.0858,0.971963,0.707015,0.719226,0.710135,0.73278,0.713175,0.72175,0.0005868240888334653,52.29,5.3,57.6,9241.8,False
6,0.021226,0.995327,0.696011,0.706085,0.695601,0.706872,0.708536,0.712039,0.00041317591116653486,52.95,5.37,58.32,9241.8,False
7,0.013017,0.99854,0.697387,0.708576,0.698954,0.712272,0.707451,0.707733,0.0002500000000000001,53.27,5.29,58.57,9241.8,False
8,0.003442,0.999124,0.70564,0.715764,0.706538,0.720344,0.713594,0.710098,0.00011697777844051105,53.02,5.45,58.47,9241.8,False
9,0.002228,0.999124,0.704264,0.715806,0.706048,0.720415,0.713205,0.702392,3.0153689607045842e-05,52.94,5.47,58.42,9241.8,False
10,0.00101,0.999708,0.707015,0.717408,0.708228,0.721409,0.715385,0.695168,0.0,52.71,5.35,58.06,9241.8,False
