elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.0,0.0,2471.30112,98,3443,63,1754.8,2306.9
30.1,95.1,2885.091328,100,10157,64,1801.5,9674.2
45.1,101.4,2885.14048,100,10929,71,6981.8,9674.2
60.1,101.5,2885.26336,100,10160,72,6020.7,9674.2
75.1,96.4,2893.828096,9,10080,57,1940.5,9686.7
90.2,99.4,2892.668928,100,12775,74,1801.5,9686.7
105.2,101.0,2892.705792,100,12717,77,4488.4,9686.7
120.2,101.5,2892.767232,100,11096,72,4186.5,9686.7
135.2,101.5,2892.767232,99,12190,73,1801.5,9686.7
150.3,99.0,2892.767232,99,10145,73,1802.1,9686.7
165.3,96.4,2892.804096,100,10081,73,3560.5,9686.7
180.3,101.4,2892.824576,100,10139,71,6700.2,9686.7
195.3,101.4,2892.828672,100,10113,72,1801.5,9686.7
210.4,99.2,2892.845056,100,10173,74,1802.1,9686.7
225.4,98.3,2892.9024,100,10097,74,1801.5,9686.7
240.4,101.4,2892.910592,99,10153,73,1801.5,9686.7
255.4,101.4,2892.914688,99,10097,72,2950.2,9686.7
270.4,96.6,2892.918784,100,10158,72,7026.9,9686.7
285.5,101.4,2892.931072,100,10097,75,1801.5,9686.7
300.5,101.3,2892.931072,100,10153,75,1801.5,9686.7
315.5,101.4,2892.939264,100,10097,74,1801.5,9686.7
330.5,95.8,2892.939264,100,10157,72,8238.6,9686.7
345.6,101.4,2892.939264,100,10117,68,1801.5,9686.7
360.6,101.5,2892.939264,100,10186,69,6334.5,9686.7
375.6,101.4,2892.947456,100,10109,67,3563.6,9686.7
390.6,96.8,2892.947456,100,10253,65,1801.5,9686.7
405.7,95.3,2892.947456,100,10229,66,1801.5,9686.7
420.7,101.3,2892.947456,100,10273,69,4203.3,9686.7
435.7,101.3,2892.955648,100,10156,68,4154.9,9686.7
450.7,96.3,2892.955648,100,10235,66,1801.5,9686.7
465.8,101.4,2892.955648,100,10189,67,4915.7,9686.7
480.8,101.4,2892.959744,100,10244,66,1801.5,9686.7
495.8,101.3,2892.967936,100,10167,67,8285.9,9686.7
510.8,96.7,2893.021184,99,10202,67,5856.8,9686.7
525.9,101.5,2926.587904,100,10139,66,8285.9,9686.7
540.9,101.4,2926.600192,99,10193,66,3890.0,9686.7
555.9,98.6,2926.460928,100,10185,68,1802.1,9686.7
570.9,99.5,2926.46912,100,10198,68,1801.5,9686.7
586.0,101.4,2926.497792,100,10153,67,5110.4,9686.7
601.0,101.4,2926.505984,99,10198,68,1801.5,9686.7
616.0,99.0,2926.51008,100,10193,69,1802.1,9686.7
