spec,n_seeds,block,trainable_params,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,acc_mean,wf1_mean
all,1,,1192193,0.653050796917063,0.0,0.653050796917063,0.653050796917063,0.6442307692307693,0.6451757873205433
b00,1,0.0,101697,0.628103766477874,0.0,0.628103766477874,0.628103766477874,0.6222527472527473,0.6196318141039628
b01,1,1.0,101697,0.6443605603535231,0.0,0.6443605603535231,0.6443605603535231,0.6373626373626373,0.6363889720013508
b02,1,2.0,101697,0.6450545035902413,0.0,0.6450545035902413,0.6450545035902413,0.6401098901098901,0.6381233407734087
b03,1,3.0,101697,0.655248103521201,0.0,0.655248103521201,0.655248103521201,0.6483516483516484,0.6476559336587219
b04,1,4.0,101697,0.646418903003547,0.0,0.646418903003547,0.646418903003547,0.6387362637362637,0.638110560729995
b05,1,5.0,101697,0.6578598949825322,0.0,0.6578598949825322,0.6578598949825322,0.6497252747252747,0.6496891876482493
b06,1,6.0,101697,0.6509620325941418,0.0,0.6509620325941418,0.6509620325941418,0.6414835164835165,0.6414931783363256
b07,1,7.0,101697,0.6655242130280474,0.0,0.6655242130280474,0.6655242130280474,0.6552197802197802,0.6568083229337033
b08,1,8.0,101697,0.6696633153531211,0.0,0.6696633153531211,0.6696633153531211,0.6620879120879121,0.6612939928028543
b09,1,9.0,101697,0.6614364773450057,0.0,0.6614364773450057,0.6614364773450057,0.6524725274725275,0.6525917143578532
b10,1,10.0,101697,0.6444827243428811,0.0,0.6444827243428811,0.6444827243428811,0.6373626373626373,0.6348341453425925
b11,1,11.0,101697,0.6325626929338045,0.0,0.6325626929338045,0.6325626929338045,0.625,0.6248077195859766
head_only,1,,2561,0.6453725966852829,0.0,0.6453725966852829,0.6453725966852829,0.6346153846153846,0.6364941684349094
