spec,block,seed,status,run_dir,trainable_params,adapter_params,blocks_adapted,best_val_epoch,best_val_macro_f1,test_accuracy,test_weighted_f1,test_macro_f1,test_mmae,runtime_s,f1_NoAg,f1_GAg,f1_PAg,f1_RAg,f1_Oth
head_only,,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-191237_abl_head_only_s42,2561,0,0,8,0.6779076184947372,0.6346153846153846,0.6364941684349094,0.6453725966852829,0.9103070589426224,150.0,0.5685279187817259,0.6304347826086956,0.7935222672064778,0.7739463601532567,0.460431654676259
b00,0.0,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-191507_abl_b00_s42,101697,99136,1,5,0.6744927358775332,0.6222527472527473,0.6196318141039628,0.628103766477874,0.9186267884111194,152.6,0.5558312655086849,0.6142322097378277,0.768,0.7571428571428571,0.4453125
b01,1.0,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-191740_abl_b01_s42,101697,99136,1,10,0.6820474788772429,0.6373626373626373,0.6363889720013508,0.6443605603535231,0.8803321263048376,152.5,0.5794871794871794,0.6258992805755396,0.774703557312253,0.7790262172284643,0.4626865671641791
b02,2.0,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-192012_abl_b02_s42,101697,99136,1,5,0.6791474833078659,0.6401098901098901,0.6381233407734087,0.6450545035902413,0.8733880824769911,150.7,0.59,0.6425992779783394,0.7611336032388664,0.7664233576642334,0.46511627906976744
b03,3.0,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-192243_abl_b03_s42,101697,99136,1,10,0.6708084054197756,0.6483516483516484,0.6476559336587219,0.655248103521201,0.8487119199267086,151.5,0.6025316455696202,0.604982206405694,0.7921568627450981,0.7953667953667953,0.48120300751879697
b04,4.0,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-192514_abl_b04_s42,101697,99136,1,5,0.6834684748582205,0.6387362637362637,0.638110560729995,0.646418903003547,0.87432688350382,150.9,0.5780051150895141,0.6312056737588653,0.784,0.7819548872180451,0.4569288389513108
b05,5.0,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-192745_abl_b05_s42,101697,99136,1,5,0.6842178507243991,0.6497252747252747,0.6496891876482493,0.6578598949825322,0.8440708548102915,149.3,0.5896805896805897,0.64,0.7967479674796748,0.7819548872180451,0.4809160305343512
b06,6.0,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-193014_abl_b06_s42,101697,99136,1,9,0.6827760560626188,0.6414835164835165,0.6414931783363256,0.6509620325941418,0.841047325620389,149.9,0.5656565656565655,0.6095890410958904,0.8015873015873016,0.77992277992278,0.49805447470817127
b07,7.0,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-193244_abl_b07_s42,101697,99136,1,5,0.6811302406782765,0.6552197802197802,0.6568083229337033,0.6655242130280474,0.835378153732027,148.6,0.5905707196029776,0.6037735849056604,0.792,0.8108108108108109,0.5304659498207885
b08,8.0,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-193513_abl_b08_s42,101697,99136,1,5,0.6678541546169503,0.6620879120879121,0.6612939928028543,0.6696633153531211,0.8118352744673167,148.9,0.6015037593984962,0.6245353159851302,0.8,0.8148148148148148,0.5074626865671641
b09,9.0,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-193742_abl_b09_s42,101697,99136,1,5,0.6734377165090317,0.6524725274725275,0.6525917143578532,0.6614364773450057,0.8163111267644718,148.5,0.5856079404466501,0.6148148148148148,0.8032786885245901,0.7941176470588236,0.5093632958801497
b10,10.0,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-194010_abl_b10_s42,101697,99136,1,6,0.6772779346297366,0.6373626373626373,0.6348341453425925,0.6444827243428811,0.8442468598498529,148.7,0.5527065527065528,0.6351351351351351,0.7651515151515152,0.8089887640449439,0.460431654676259
b11,11.0,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-194239_abl_b11_s42,101697,99136,1,8,0.67533856226874,0.625,0.6248077195859766,0.6325626929338045,0.9265861803493844,148.9,0.5749999999999998,0.615916955017301,0.7808764940239042,0.7559055118110236,0.4351145038167939
all,,42,ok,/home/raiyan/PR/Bengali-Aggression-Memes/Runs/20260920-194508_abl_all_s42,1192193,1189632,12,10,0.6980905095060708,0.6442307692307693,0.6451757873205433,0.653050796917063,0.8348027974568467,149.7,0.5861182519280205,0.6137184115523466,0.776,0.7786259541984732,0.5107913669064749
