wall_time,elapsed_s,epoch,global_step,step_in_epoch,loss,batch_acc,running_loss,running_acc,lr,samples_per_s,gpu_alloc_mb
7.57,7.57,1,1,1,1.819818,0.34375,1.819818,0.34375,3.7037037037037037e-05,245.99,669.4
7.59,7.59,1,2,2,1.825395,0.265625,1.822607,0.304688,5.555555555555555e-05,2463.05,669.4
7.62,7.62,1,3,3,1.85149,0.265625,1.832234,0.291667,7.407407407407407e-05,2443.97,669.4
7.65,7.65,1,4,4,1.582776,0.375,1.76987,0.3125,9.259259259259259e-05,2370.44,669.4
8.19,8.19,1,5,5,1.747619,0.328125,1.76542,0.315625,0.0001111111111111111,2315.2,669.4
8.22,8.22,1,6,6,1.480175,0.390625,1.717879,0.328125,0.00012962962962962963,2386.33,669.4
8.24,8.24,1,7,7,1.346608,0.46875,1.66484,0.348214,0.00014814814814814815,2425.37,669.4
8.27,8.27,1,8,8,1.55651,0.484375,1.651299,0.365234,0.00016666666666666666,2333.31,669.4
8.96,8.96,1,9,9,1.564314,0.375,1.641634,0.366319,0.00018518518518518518,2230.12,669.4
9.0,9.0,1,10,10,1.38249,0.4375,1.615719,0.373437,0.0002037037037037037,2280.89,669.4
9.02,9.02,1,11,11,1.388135,0.4375,1.59503,0.379261,0.0002222222222222222,2312.19,669.4
9.05,9.05,1,12,12,1.141251,0.46875,1.557215,0.386719,0.00024074074074074072,2446.24,669.4
9.67,9.67,1,13,13,1.345257,0.390625,1.540911,0.387019,0.00025925925925925926,2367.18,669.4
9.81,9.81,1,14,14,1.409787,0.421875,1.531545,0.389509,0.0002777777777777778,2324.68,669.4
9.84,9.84,1,15,15,1.43007,0.5,1.52478,0.396875,0.0002962962962962963,2301.24,669.4
9.86,9.86,1,16,16,1.219257,0.484375,1.505684,0.402344,0.0003148148148148148,2454.47,669.4
10.39,10.39,1,17,17,1.143222,0.5,1.484363,0.408088,0.0003333333333333333,2441.65,669.4
10.51,10.51,1,18,18,1.386028,0.453125,1.4789,0.41059,0.0003518518518518519,2355.87,669.4
10.54,10.54,1,19,19,1.067802,0.640625,1.457263,0.422697,0.00037037037037037035,2312.46,669.4
10.63,10.63,1,20,20,1.258703,0.421875,1.447335,0.422656,0.0003888888888888889,2460.75,669.4
11.11,11.11,1,21,21,1.383773,0.5,1.444309,0.426339,0.0004074074074074074,2461.51,669.4
11.19,11.19,1,22,22,1.203293,0.5,1.433353,0.429688,0.00042592592592592595,2449.63,669.4
