epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
0,,,0.361761,0.312544,0.296331,0.428281,0.391779,1.134967,1.8518518518518518e-05,0.0,0.0,0.0,,False
1,1.255996,0.50434,0.570839,0.567513,0.558013,0.619747,0.585911,0.897719,0.001,11.31,2.62,13.94,748.7,True
2,0.972051,0.637153,0.623109,0.630497,0.62422,0.660386,0.624949,0.876148,0.0009698463103929542,11.22,2.61,13.83,748.7,True
3,0.838901,0.684606,0.66575,0.672775,0.662646,0.670031,0.678918,0.779786,0.000883022221559489,11.2,2.62,13.82,748.7,True
4,0.801081,0.684317,0.628611,0.607452,0.601265,0.675518,0.626667,0.940596,0.00075,11.25,2.61,13.86,748.7,False
5,0.77274,0.716435,0.643741,0.65092,0.641956,0.651133,0.652661,0.836814,0.0005868240888334653,11.53,2.64,14.17,748.7,False
6,0.721422,0.730613,0.658872,0.672061,0.662647,0.68516,0.66705,0.828983,0.00041317591116653486,11.4,2.65,14.05,748.7,False
7,0.729089,0.723669,0.654746,0.664282,0.656387,0.679786,0.657305,0.83189,0.0002500000000000001,11.12,2.65,13.77,748.7,False
8,0.685141,0.750579,0.667125,0.677908,0.669365,0.684788,0.673463,0.783398,0.00011697777844051105,11.31,2.69,14.0,748.7,True
9,0.683533,0.744502,0.661623,0.672297,0.664235,0.681551,0.66586,0.811667,3.0153689607045842e-05,11.66,2.63,14.29,748.7,False
10,0.67832,0.742188,0.662999,0.672757,0.664737,0.680384,0.667733,0.799046,0.0,10.91,2.63,13.53,748.7,False
