elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.0,0.0,2568.859648,68,2763,52,671.0,1948.3
30.1,32.7,2609.737728,97,2820,59,671.0,1960.8
45.1,33.8,2609.864704,28,2769,51,671.0,1960.8
60.1,33.4,2609.954816,0,2811,49,633.1,1960.8
75.1,32.0,2609.963008,30,2766,49,671.6,1960.8
90.1,32.5,2677.092352,2,2808,49,671.6,1960.8
105.2,33.5,2677.116928,0,2745,49,671.6,1960.8
120.2,33.5,2677.129216,3,2819,48,633.1,1960.8
135.2,34.5,2677.133312,0,2741,49,671.0,1960.8
150.8,30.2,2678.165504,1,2806,48,631.7,1960.8
