epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
0,,,0.361761,0.312544,0.296331,0.428281,0.391779,1.134967,1.8518518518518518e-05,0.0,0.0,0.0,,False
1,1.216999,0.524595,0.618982,0.619875,0.611431,0.645509,0.626542,0.862621,0.001,11.16,2.71,13.86,1387.3,True
2,0.888138,0.667824,0.627235,0.629919,0.619861,0.644391,0.637621,0.859238,0.0009698463103929542,11.56,2.67,14.22,1387.0,True
3,0.776746,0.706019,0.643741,0.658327,0.650772,0.702622,0.639322,0.9206,0.000883022221559489,11.22,2.64,13.86,1387.0,True
4,0.709652,0.735822,0.678129,0.677291,0.671157,0.692869,0.679763,0.784968,0.00075,11.38,2.62,14.0,1387.0,True
5,0.628578,0.764468,0.674003,0.683468,0.674861,0.692152,0.678902,0.799028,0.0005868240888334653,11.6,2.67,14.27,1387.0,True
6,0.575141,0.784722,0.672627,0.676757,0.667749,0.675408,0.685065,0.73568,0.00041317591116653486,11.67,2.64,14.31,1387.0,False
7,0.533187,0.802662,0.667125,0.673912,0.666293,0.68298,0.671384,0.790996,0.0002500000000000001,11.39,2.65,14.04,1387.0,False
8,0.500615,0.8261,0.664374,0.671925,0.663996,0.676067,0.67009,0.79062,0.00011697777844051105,11.22,2.66,13.88,1387.0,False
9,0.468672,0.842014,0.669876,0.676743,0.668465,0.679919,0.676558,0.776344,3.0153689607045842e-05,11.16,2.63,13.79,1387.0,False
10,0.468249,0.84375,0.669876,0.676803,0.668777,0.680866,0.67596,0.773456,0.0,11.26,2.62,13.88,1387.0,False
