wall_time,elapsed_s,epoch,global_step,step_in_epoch,loss,batch_acc,running_loss,running_acc,lr,samples_per_s,gpu_alloc_mb
7.48,7.48,1,1,1,1.709444,0.359375,1.709444,0.359375,3.7037037037037037e-05,225.66,671.0
7.51,7.51,1,2,2,1.599985,0.390625,1.654714,0.375,5.555555555555555e-05,2017.86,671.0
7.55,7.55,1,3,3,1.607505,0.359375,1.638978,0.369792,7.407407407407407e-05,2034.28,671.0
7.58,7.58,1,4,4,1.830732,0.296875,1.686916,0.351562,9.259259259259259e-05,1949.63,671.0
7.97,7.97,1,5,5,1.304876,0.46875,1.610508,0.375,0.0001111111111111111,1977.8,671.0
8.01,8.01,1,6,6,1.703832,0.375,1.626062,0.375,0.00012962962962962963,2003.77,671.0
8.18,8.18,1,7,7,1.249913,0.46875,1.572327,0.388393,0.00014814814814814815,1941.25,671.0
8.21,8.21,1,8,8,1.659045,0.34375,1.583166,0.382812,0.00016666666666666666,2022.94,671.0
8.84,8.84,1,9,9,1.542477,0.296875,1.578645,0.373264,0.00018518518518518518,2038.25,671.0
8.87,8.87,1,10,10,1.247991,0.484375,1.54558,0.384375,0.0002037037037037037,2020.53,671.0
9.02,9.02,1,11,11,1.364441,0.421875,1.529113,0.387784,0.0002222222222222222,1953.71,671.0
9.05,9.05,1,12,12,1.244238,0.484375,1.505373,0.395833,0.00024074074074074072,2033.83,671.0
9.7,9.7,1,13,13,1.399613,0.390625,1.497238,0.395433,0.00025925925925925926,1981.83,671.0
9.73,9.73,1,14,14,1.254593,0.46875,1.479906,0.40067,0.0002777777777777778,1981.12,671.0
9.87,9.87,1,15,15,1.311351,0.453125,1.468669,0.404167,0.0002962962962962963,2001.71,671.0
9.9,9.9,1,16,16,1.35516,0.421875,1.461575,0.405273,0.0003148148148148148,1999.28,671.0
10.42,10.42,1,17,17,1.182916,0.578125,1.445183,0.415441,0.0003333333333333333,2037.23,671.0
10.45,10.45,1,18,18,1.27521,0.5,1.43574,0.420139,0.0003518518518518519,1987.7,671.0
10.53,10.53,1,19,19,1.245453,0.5,1.425725,0.424342,0.00037037037037037035,1993.65,671.0
10.57,10.57,1,20,20,1.356857,0.46875,1.422281,0.426563,0.0003888888888888889,1929.97,671.0
11.11,11.11,1,21,21,1.348325,0.484375,1.41876,0.429315,0.0004074074074074074,1966.92,671.0
11.14,11.14,1,22,22,1.198175,0.546875,1.408733,0.434659,0.00042592592592592595,2027.0,671.0
11.17,11.17,1,23,23,1.2312,0.53125,1.401014,0.438859,0.0004444444444444444,1967.18,671.0
11.23,11.23,1,24,24,1.246326,0.5,1.394569,0.441406,0.000462962962962963,2028.67,671.0
11.92,11.92,1,25,25,1.226419,0.5,1.387843,0.44375,0.00048148148148148144,1973.24,671.0
11.96,11.96,1,26,26,1.327385,0.453125,1.385518,0.444111,0.0005,2032.54,671.0
11.99,11.99,1,27,27,1.184353,0.53125,1.378067,0.447338,0.0005185185185185185,1916.48,671.0
12.05,12.05,1,28,28,1.222098,0.484375,1.372497,0.448661,0.0005370370370370371,2030.68,671.0
12.71,12.71,1,29,29,0.965164,0.671875,1.358451,0.456358,0.0005555555555555556,1990.87,671.0
12.75,12.75,1,30,30,0.913125,0.6875,1.343607,0.464062,0.0005740740740740741,1942.4,671.0
12.78,12.78,1,31,31,1.138817,0.546875,1.337001,0.466734,0.0005925925925925926,2026.13,671.0
12.93,12.93,1,32,32,1.276081,0.5,1.335097,0.467773,0.0006111111111111112,2016.45,671.0
13.43,13.43,1,33,33,1.092281,0.59375,1.327739,0.471591,0.0006296296296296296,1983.05,671.0
13.47,13.47,1,34,34,1.10356,0.484375,1.321145,0.471967,0.0006481481481481481,1896.47,671.0
13.5,13.5,1,35,35,1.21332,0.546875,1.318065,0.474107,0.0006666666666666666,2029.82,671.0
13.73,13.73,1,36,36,1.010815,0.640625,1.30953,0.478733,0.0006851851851851853,2037.96,671.0
14.09,14.09,1,37,37,1.08178,0.609375,1.303374,0.482264,0.0007037037037037038,2021.95,671.0
14.16,14.16,1,38,38,1.364646,0.46875,1.304987,0.481908,0.0007222222222222222,2001.71,671.0
14.19,14.19,1,39,39,1.061444,0.59375,1.298742,0.484776,0.0007407407407407407,1927.97,671.0
14.59,14.59,1,40,40,1.134331,0.609375,1.294632,0.487891,0.0007592592592592593,1998.54,671.0
14.91,14.91,1,41,41,1.05644,0.640625,1.288822,0.491616,0.0007777777777777778,1968.9,671.0
