elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.8,0.0,997.7856,18,1643,46,0.0,0.0
30.8,0.0,997.789696,0,1703,44,0.0,0.0
45.9,0.0,997.793792,8,1647,44,0.0,0.0
60.9,0.0,997.793792,25,1707,45,0.0,0.0
75.9,0.0,997.793792,24,1641,45,0.0,0.0
90.9,0.0,997.793792,0,1701,44,0.0,0.0
105.9,0.0,997.793792,1,1646,45,0.0,0.0
121.0,0.0,997.793792,0,1705,44,0.0,0.0
136.0,0.0,997.793792,27,1641,48,0.0,0.0
151.0,0.0,997.793792,0,1704,45,0.0,0.0
166.0,0.0,997.793792,1,1646,44,0.0,0.0
181.1,0.0,997.793792,0,1706,46,0.0,0.0
196.1,0.0,997.793792,48,1647,54,0.0,0.0
211.1,0.1,997.793792,1,1702,45,0.0,0.0
226.1,0.0,997.797888,1,1647,44,0.0,0.0
241.1,0.0,997.797888,0,1708,43,0.0,0.0
256.2,0.0,997.801984,2,1647,44,0.0,0.0
271.2,0.0,997.801984,0,1702,44,0.0,0.0
286.2,0.0,997.801984,0,1647,44,0.0,0.0
301.2,0.0,997.801984,1,1708,44,0.0,0.0
316.3,0.0,997.801984,1,2692,45,0.0,0.0
331.3,0.0,997.801984,0,2766,45,0.0,0.0
346.3,0.0,997.801984,54,2704,54,0.0,0.0
361.3,0.0,997.801984,1,2759,49,0.0,0.0
376.4,0.0,997.801984,1,2701,48,0.0,0.0
391.4,0.0,997.801984,1,2761,49,0.0,0.0
406.4,0.0,997.801984,60,2701,54,0.0,0.0
421.4,0.1,997.801984,26,2761,47,0.0,0.0
436.5,0.0,997.801984,68,2702,53,0.0,0.0
451.5,0.0,997.801984,0,2761,47,0.0,0.0
466.5,0.0,997.801984,0,2693,47,0.0,0.0
481.5,0.0,997.801984,0,2764,48,0.0,0.0
496.6,0.0,997.801984,0,2702,49,0.0,0.0
511.6,0.0,997.801984,0,2762,48,0.0,0.0
526.6,0.0,997.801984,0,2706,49,0.0,0.0
541.6,0.0,997.801984,98,2762,56,0.0,0.0
556.6,0.0,997.801984,97,2702,59,0.0,0.0
571.7,0.1,997.801984,53,2762,59,0.0,0.0
586.7,0.0,997.801984,50,2706,58,0.0,0.0
601.7,0.1,997.80608,1,2767,49,0.0,0.0
616.7,0.0,997.80608,1,1922,49,0.0,0.0
631.8,0.0,997.80608,0,1987,47,0.0,0.0
646.8,0.0,997.80608,1,1928,47,0.0,0.0
661.8,0.0,997.80608,67,1985,53,0.0,0.0
676.8,0.0,997.80608,1,1923,49,0.0,0.0
691.9,0.0,997.80608,1,1983,47,0.0,0.0
706.9,0.0,997.80608,1,1927,48,0.0,0.0
721.9,0.0,997.80608,1,1988,48,0.0,0.0
736.9,0.0,997.80608,1,1928,46,0.0,0.0
751.9,0.0,997.80608,62,1983,52,0.0,0.0
767.0,0.0,997.80608,34,1925,49,0.0,0.0
782.0,0.0,997.80608,1,1988,46,0.0,0.0
797.0,0.1,997.80608,97,1928,56,0.0,0.0
812.0,0.0,997.80608,97,1984,56,0.0,0.0
827.1,0.0,997.80608,68,1928,57,0.0,0.0
842.1,0.0,997.80608,0,1988,46,0.0,0.0
857.1,0.0,997.80608,0,1928,46,0.0,0.0
872.1,0.0,997.80608,60,1990,52,0.0,0.0
887.1,0.0,997.80608,0,1929,48,0.0,0.0
902.2,0.0,997.80608,17,1989,46,0.0,0.0
917.2,0.0,997.80608,97,2749,57,0.0,0.0
932.2,0.0,997.80608,0,2819,48,0.0,0.0
947.2,0.0,997.80608,0,2759,47,0.0,0.0
962.3,0.0,997.80608,95,2815,58,0.0,0.0
977.3,0.0,997.80608,0,2757,49,0.0,0.0
992.3,0.0,997.80608,39,2817,48,0.0,0.0
1007.3,0.0,997.80608,59,2758,59,0.0,0.0
1022.4,0.1,997.810176,0,2813,48,0.0,0.0
1037.4,0.1,997.810176,67,2757,57,0.0,0.0
1052.4,0.0,997.810176,0,2817,48,0.0,0.0
1067.4,0.0,997.810176,0,2748,48,0.0,0.0
1082.5,0.0,997.810176,48,2814,56,0.0,0.0
1097.5,0.0,997.810176,56,2764,60,0.0,0.0
1112.5,0.0,997.810176,10,2823,53,0.0,0.0
1127.5,0.0,997.810176,1,2767,50,0.0,0.0
1142.5,0.0,997.810176,0,2827,48,0.0,0.0
1157.6,0.0,997.810176,0,2769,48,0.0,0.0
1172.6,0.0,997.810176,1,2829,49,0.0,0.0
1187.6,0.0,997.810176,67,2768,60,0.0,0.0
1202.6,0.0,997.810176,1,2827,49,0.0,0.0
