2026-09-20 19:48:09 | INFO    | +     3.5s | ViT-B/32: 12 blocks. 8 child runs = 4 configs x 2 seed(s), sequentially (one GPU job at a time).
2026-09-20 19:48:09 | INFO    | +     3.5s | Reference points: head-only (floor) and all-blocks (ceiling).
2026-09-20 19:48:09 | INFO    | +     3.5s | [1/8] elapsed 0.0 min
2026-09-20 19:48:09 | INFO    | +     3.5s | --- head_only (seed 0) : launching child run 'ablseed_head_only_s0'
2026-09-20 19:50:37 | INFO    | +   151.3s |     head_only seed 0: test macroF1=0.6346 acc=62.09% (2,561 trainable, 148s)
2026-09-20 19:50:37 | INFO    | +   151.3s | [2/8] elapsed 2.5 min, eta 17.3 min
2026-09-20 19:50:37 | INFO    | +   151.3s | --- head_only (seed 1) : launching child run 'ablseed_head_only_s1'
2026-09-20 19:53:10 | INFO    | +   304.9s |     head_only seed 1: test macroF1=0.6367 acc=62.77% (2,561 trainable, 154s)
2026-09-20 19:53:10 | INFO    | +   304.9s | [3/8] elapsed 5.0 min, eta 15.1 min
2026-09-20 19:53:10 | INFO    | +   304.9s | --- b00 (seed 0) : launching child run 'ablseed_b00_s0'
2026-09-20 19:55:40 | INFO    | +   455.0s |     b00 seed 0: test macroF1=0.6413 acc=63.19% (101,697 trainable, 150s)
2026-09-20 19:55:40 | INFO    | +   455.0s | [4/8] elapsed 7.5 min, eta 12.5 min
2026-09-20 19:55:40 | INFO    | +   455.0s | --- b00 (seed 1) : launching child run 'ablseed_b00_s1'
2026-09-20 19:58:11 | INFO    | +   605.7s |     b00 seed 1: test macroF1=0.6280 acc=61.40% (101,697 trainable, 151s)
2026-09-20 19:58:11 | INFO    | +   605.7s | [5/8] elapsed 10.0 min, eta 10.0 min
2026-09-20 19:58:11 | INFO    | +   605.7s | --- b08 (seed 0) : launching child run 'ablseed_b08_s0'
2026-09-20 20:00:40 | INFO    | +   754.2s |     b08 seed 0: test macroF1=0.6600 acc=64.97% (101,697 trainable, 149s)
2026-09-20 20:00:40 | INFO    | +   754.3s | [6/8] elapsed 12.5 min, eta 7.5 min
2026-09-20 20:00:40 | INFO    | +   754.3s | --- b08 (seed 1) : launching child run 'ablseed_b08_s1'
2026-09-20 20:03:09 | INFO    | +   903.3s |     b08 seed 1: test macroF1=0.6490 acc=63.87% (101,697 trainable, 149s)
2026-09-20 20:03:09 | INFO    | +   903.3s | [7/8] elapsed 15.0 min, eta 5.0 min
2026-09-20 20:03:09 | INFO    | +   903.3s | --- all (seed 0) : launching child run 'ablseed_all_s0'
2026-09-20 20:05:38 | INFO    | +  1052.9s |     all seed 0: test macroF1=0.6554 acc=64.56% (1,192,193 trainable, 150s)
2026-09-20 20:05:38 | INFO    | +  1052.9s | [8/8] elapsed 17.5 min, eta 2.5 min
2026-09-20 20:05:38 | INFO    | +  1052.9s | --- all (seed 1) : launching child run 'ablseed_all_s1'
2026-09-20 20:08:09 | INFO    | +  1203.5s |     all seed 1: test macroF1=0.6593 acc=65.11% (1,192,193 trainable, 151s)
2026-09-20 20:08:10 | INFO    | +  1204.7s | Sweep finished in 20.0 min
