wall_time,elapsed_s,epoch,global_step,step_in_epoch,loss,batch_acc,running_loss,running_acc,lr,samples_per_s,gpu_alloc_mb
7.51,7.51,1,1,1,1.714615,0.40625,1.714615,0.40625,3.7037037037037037e-05,255.2,669.4
7.54,7.54,1,2,2,1.700658,0.421875,1.707637,0.414062,5.555555555555555e-05,2450.37,669.4
7.57,7.57,1,3,3,1.673288,0.3125,1.696187,0.380208,7.407407407407407e-05,2434.44,669.4
7.59,7.59,1,4,4,1.584759,0.4375,1.66833,0.394531,9.259259259259259e-05,2419.38,669.4
7.98,7.98,1,5,5,1.651452,0.359375,1.664954,0.3875,0.0001111111111111111,2361.62,669.4
8.08,8.08,1,6,6,1.749651,0.296875,1.67907,0.372396,0.00012962962962962963,2344.17,669.4
8.17,8.17,1,7,7,1.137975,0.53125,1.601771,0.395089,0.00014814814814814815,2455.16,669.4
8.36,8.36,1,8,8,1.683718,0.34375,1.612014,0.388672,0.00016666666666666666,2367.78,669.4
8.77,8.77,1,9,9,1.325695,0.484375,1.580201,0.399306,0.00018518518518518518,2447.51,669.4
8.8,8.8,1,10,10,1.601823,0.390625,1.582363,0.398438,0.0002037037037037037,2387.18,669.4
9.0,9.0,1,11,11,1.3676,0.375,1.562839,0.396307,0.0002222222222222222,2347.14,669.4
9.2,9.2,1,12,12,1.313038,0.359375,1.542023,0.393229,0.00024074074074074072,2334.87,669.4
9.69,9.69,1,13,13,1.170353,0.484375,1.513433,0.40024,0.00025925925925925926,2461.4,669.4
9.72,9.72,1,14,14,1.303795,0.5,1.498459,0.407366,0.0002777777777777778,2361.62,669.4
9.8,9.8,1,15,15,1.252514,0.359375,1.482062,0.404167,0.0002962962962962963,2461.51,669.4
10.07,10.07,1,16,16,1.258126,0.46875,1.468066,0.408203,0.0003148148148148148,2446.51,669.4
10.47,10.47,1,17,17,1.170098,0.59375,1.450539,0.419118,0.0003333333333333333,2331.67,669.4
10.5,10.5,1,18,18,1.541424,0.390625,1.455588,0.417535,0.0003518518518518519,2401.63,669.4
10.57,10.57,1,19,19,1.238842,0.546875,1.44418,0.424342,0.00037037037037037035,2464.11,669.4
10.93,10.93,1,20,20,1.319376,0.515625,1.43794,0.428906,0.0003888888888888889,2438.79,669.4
11.26,11.26,1,21,21,1.15625,0.515625,1.424526,0.433036,0.0004074074074074074,2455.46,669.4
11.28,11.28,1,22,22,1.101906,0.546875,1.409862,0.43821,0.00042592592592592595,2473.54,669.4
11.36,11.36,1,23,23,1.192381,0.5625,1.400406,0.443614,0.0004444444444444444,2420.8,669.4
11.63,11.63,1,24,24,1.296504,0.359375,1.396077,0.440104,0.000462962962962963,2443.81,669.4
11.96,11.96,1,25,25,1.223339,0.5,1.389167,0.4425,0.00048148148148148144,2446.93,669.4
12.07,12.07,1,26,26,1.427472,0.4375,1.39064,0.442308,0.0005,2458.83,669.4
12.09,12.09,1,27,27,1.095974,0.578125,1.379727,0.447338,0.0005185185185185185,2371.51,669.4
12.39,12.39,1,28,28,1.131131,0.5625,1.370848,0.451451,0.0005370370370370371,2405.27,669.4
12.84,12.84,1,29,29,1.233741,0.46875,1.366121,0.452047,0.0005555555555555556,2395.53,669.4
12.87,12.87,1,30,30,1.087675,0.625,1.356839,0.457813,0.0005740740740740741,2436.93,669.4
12.9,12.9,1,31,31,1.134826,0.53125,1.349677,0.460181,0.0005925925925925926,2378.19,669.4
13.1,13.1,1,32,32,1.188224,0.5,1.344632,0.461426,0.0006111111111111112,2336.52,669.4
13.55,13.55,1,33,33,1.009041,0.65625,1.334462,0.46733,0.0006296296296296296,2359.17,669.4
13.63,13.63,1,34,34,1.31332,0.46875,1.333841,0.467371,0.0006481481481481481,2392.37,669.4
13.66,13.66,1,35,35,1.308027,0.4375,1.333103,0.466518,0.0006666666666666666,2445.03,669.4
13.93,13.93,1,36,36,1.197057,0.46875,1.329324,0.46658,0.0006851851851851853,2374.17,669.4
14.28,14.28,1,37,37,0.858268,0.703125,1.316593,0.472973,0.0007037037037037038,2437.64,669.4
14.39,14.39,1,38,38,0.940132,0.625,1.306686,0.476974,0.0007222222222222222,2452.23,669.4
14.47,14.47,1,39,39,0.992475,0.59375,1.298629,0.479968,0.0007407407407407407,2423.42,669.4
14.71,14.71,1,40,40,1.0365,0.640625,1.292076,0.483984,0.0007592592592592593,2459.19,669.4
15.02,15.02,1,41,41,1.008164,0.625,1.285151,0.487424,0.0007777777777777778,2430.64,669.4
15.21,15.21,1,42,42,1.1122,0.578125,1.281033,0.489583,0.0007962962962962962,2452.36,669.4
15.34,15.34,1,43,43,1.022817,0.640625,1.275028,0.493096,0.0008148148148148148,2387.22,669.4
15.46,15.46,1,44,44,0.991941,0.71875,1.268595,0.498224,0.0008333333333333334,2431.11,669.4
15.7,15.7,1,45,45,0.807887,0.734375,1.258357,0.503472,0.0008518518518518519,2438.24,669.4
15.99,15.99,1,46,46,0.953671,0.6875,1.251733,0.507473,0.0008703703703703704,2387.18,669.4
16.07,16.07,1,47,47,0.785765,0.71875,1.241819,0.511968,0.0008888888888888888,2406.48,669.4
16.35,16.35,1,48,48,1.061025,0.609375,1.238052,0.513997,0.0009074074074074074,2334.63,669.4
16.49,16.49,1,49,49,0.993199,0.625,1.233055,0.516263,0.000925925925925926,2432.12,669.4
16.68,16.68,1,50,50,1.01042,0.671875,1.228603,0.519375,0.0009444444444444445,2462.08,669.4
16.88,16.88,1,51,51,1.101308,0.59375,1.226107,0.520833,0.0009629629629629629,2447.6,669.4
17.09,17.09,1,52,52,1.091731,0.5625,1.223522,0.521635,0.0009814814814814816,2386.75,669.4
17.36,17.36,1,53,53,1.31211,0.484375,1.225194,0.520932,0.001,2474.79,669.4
17.39,17.39,1,54,54,0.907604,1.0,1.219313,0.529803,0.001,42.35,631.5
20.93,20.93,2,55,1,1.085991,0.609375,1.085991,0.609375,0.000999989553622803,2377.77,669.4
21.03,21.03,2,56,2,0.905057,0.59375,0.995524,0.601562,0.0009999582149277186,2348.64,669.4
21.08,21.08,2,57,3,0.960374,0.6875,0.983807,0.630208,0.0009999059852242506,2452.29,669.4
21.1,21.1,2,58,4,1.001224,0.578125,0.988161,0.617188,0.0009998328666948437,2384.91,669.4
21.84,21.84,2,59,5,0.800491,0.703125,0.950627,0.634375,0.0009997388623947927,2432.16,669.4
21.87,21.87,2,60,6,1.115846,0.578125,0.978164,0.625,0.000999623976252115,2391.6,669.4
21.89,21.89,2,61,7,1.042068,0.5625,0.987293,0.616071,0.0009994882130673868,2367.97,669.4
21.92,21.92,2,62,8,0.812746,0.671875,0.965475,0.623047,0.0009993315785135415,2424.28,669.4
22.75,22.75,2,63,9,0.911351,0.625,0.959461,0.623264,0.0009991540791356342,2358.09,669.4
22.78,22.78,2,64,10,1.118372,0.609375,0.975352,0.621875,0.000998955722350566,2456.76,669.4
22.8,22.8,2,65,11,0.998905,0.546875,0.977493,0.615057,0.0009987365164467767,2458.49,669.4
22.83,22.83,2,66,12,0.927429,0.640625,0.973321,0.617188,0.000998496470583896,2366.09,669.4
23.52,23.52,2,67,13,0.76305,0.703125,0.957147,0.623798,0.000998235594792363,2410.0,669.4
23.57,23.57,2,68,14,0.810957,0.71875,0.946704,0.63058,0.0009979538999730047,2368.43,669.4
23.59,23.59,2,69,15,0.882619,0.65625,0.942432,0.632292,0.0009976513978965829,2469.05,669.4
23.62,23.62,2,70,16,0.898427,0.6875,0.939682,0.635742,0.0009973281012033007,2446.91,669.4
24.26,24.26,2,71,17,0.728054,0.671875,0.927233,0.637868,0.000996984023402275,2393.03,669.4
24.41,24.41,2,72,18,0.809214,0.734375,0.920676,0.643229,0.0009966191788709714,2382.73,669.4
24.44,24.44,2,73,19,1.06951,0.578125,0.92851,0.639803,0.0009962335828546047,2407.67,669.4
24.47,24.47,2,74,20,0.972389,0.640625,0.930704,0.639844,0.0009958272514655007,2426.69,669.4
25.11,25.11,2,75,21,1.077678,0.625,0.937703,0.639137,0.0009954002016824225,2402.0,669.4
25.17,25.17,2,76,22,1.081357,0.578125,0.944232,0.636364,0.0009949524513498636,2451.82,669.4
25.19,25.19,2,77,23,1.119084,0.578125,0.951835,0.633832,0.0009944840191772985,2427.52,669.4
25.22,25.22,2,78,24,0.892266,0.65625,0.949352,0.634766,0.0009939949247384046,2376.4,669.4
25.89,25.89,2,79,25,1.181058,0.625,0.958621,0.634375,0.0009934851884702415,2423.82,669.4
25.92,25.92,2,80,26,0.944345,0.625,0.958072,0.634014,0.0009929548316723982,2370.35,669.4
25.95,25.95,2,81,27,0.898117,0.6875,0.955851,0.635995,0.000992403876506104,2301.46,669.4
25.97,25.97,2,82,28,0.906167,0.609375,0.954077,0.635045,0.0009918323459933004,2402.99,669.4
26.62,26.62,2,83,29,1.047501,0.5625,0.957298,0.632543,0.000991240264015681,2449.59,669.4
26.7,26.7,2,84,30,0.917075,0.65625,0.955957,0.633333,0.0009906276553136924,2312.03,669.4
26.74,26.74,2,85,31,0.999847,0.578125,0.957373,0.631552,0.0009899945454855006,2367.7,669.4
26.77,26.77,2,86,32,0.908426,0.71875,0.955844,0.634277,0.0009893409609859221,2379.28,669.4
27.38,27.38,2,87,33,1.081448,0.59375,0.95965,0.633049,0.000988666929125318,2417.34,669.4
27.54,27.54,2,88,34,0.883428,0.578125,0.957408,0.631434,0.0009879724780684517,2451.15,669.4
27.57,27.57,2,89,35,0.82437,0.703125,0.953607,0.633482,0.000987257636833315,2415.99,669.4
27.6,27.6,2,90,36,1.02319,0.5625,0.95554,0.63151,0.0009865224352899118,2466.65,669.4
28.23,28.23,2,91,37,0.814971,0.71875,0.951741,0.633868,0.0009857669041590134,2340.63,669.4
28.25,28.25,2,92,38,0.792752,0.640625,0.947557,0.634046,0.0009849910750108718,2359.06,669.4
28.28,28.28,2,93,39,1.05514,0.59375,0.950315,0.633013,0.000984194980263903,2431.08,669.4
28.31,28.31,2,94,40,0.982779,0.640625,0.951127,0.633203,0.000983378653183331,2449.56,669.4
28.96,28.96,2,95,41,0.808605,0.6875,0.947651,0.634527,0.0009825421278797984,2327.34,669.4
28.99,28.99,2,96,42,0.960087,0.640625,0.947947,0.634673,0.0009816854393079402,2223.31,669.4
29.02,29.02,2,97,43,0.712609,0.765625,0.942474,0.637718,0.0009808086232649246,2351.89,669.4
