epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
0,,,0.361761,0.312544,0.296331,0.428281,0.391779,1.134967,1.8518518518518518e-05,0.0,0.0,0.0,,False
1,1.219313,0.529803,0.62586,0.634402,0.622055,0.642847,0.64191,0.863348,0.001,11.08,2.62,13.7,748.7,True
2,0.917983,0.649016,0.634113,0.639071,0.630885,0.664324,0.637652,0.900829,0.0009698463103929542,11.34,2.62,13.95,748.7,True
3,0.828172,0.682581,0.639615,0.643203,0.635604,0.678521,0.639766,0.89987,0.000883022221559489,11.03,2.66,13.68,748.7,True
4,0.783631,0.708333,0.632737,0.635062,0.626909,0.672438,0.633517,0.919153,0.00075,10.84,2.61,13.45,748.7,False
5,0.827611,0.702836,0.638239,0.653007,0.643776,0.669403,0.644713,0.899625,0.0005868240888334653,10.86,2.64,13.5,748.7,True
6,0.730221,0.731481,0.65337,0.665239,0.656936,0.676397,0.660678,0.818875,0.00041317591116653486,11.05,2.64,13.68,748.7,True
7,0.722384,0.727141,0.650619,0.658071,0.649953,0.665388,0.655501,0.840448,0.0002500000000000001,10.82,2.62,13.45,748.7,False
8,0.700417,0.737847,0.65337,0.66221,0.653441,0.666939,0.660304,0.817523,0.00011697777844051105,11.13,2.63,13.76,748.7,False
9,0.661377,0.760127,0.647868,0.656767,0.648419,0.665482,0.652354,0.846064,3.0153689607045842e-05,11.37,2.63,14.0,748.7,False
10,0.667878,0.764757,0.645117,0.654196,0.645585,0.661329,0.650457,0.847812,0.0,11.33,2.63,13.96,748.7,False
