elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.0,0.0,2442.125312,26,1650,51,669.4,853.5
30.1,23.0,2549.84192,0,1710,45,669.4,853.5
45.1,23.0,2549.915648,0,1650,44,631.5,853.5
60.1,22.1,2550.013952,0,1706,45,670.0,853.5
75.1,23.2,2550.00576,25,1652,51,631.5,853.5
90.2,16.7,2550.140928,0,1711,43,631.5,853.5
105.2,20.7,2617.233408,0,1650,46,669.4,853.5
120.2,23.2,2617.257984,25,1710,43,670.0,853.5
135.3,23.0,2617.294848,0,1652,44,645.3,853.5
150.3,23.2,2617.274368,0,1711,44,669.4,853.5
