epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
0,,,0.361761,0.312544,0.296331,0.428281,0.391779,1.134967,1.8518518518518518e-05,0.0,0.0,0.0,,False
1,1.239902,0.508102,0.596974,0.609031,0.602588,0.68501,0.588582,1.038536,0.001,11.59,2.66,14.25,1760.4,True
2,0.919608,0.653356,0.621733,0.62313,0.613906,0.626275,0.63278,0.867548,0.0009698463103929542,10.93,2.66,13.59,1760.4,True
3,0.791024,0.710359,0.646492,0.661969,0.654078,0.685448,0.649361,0.883319,0.000883022221559489,11.23,2.63,13.86,1760.4,True
4,0.71317,0.735243,0.650619,0.65997,0.651523,0.683071,0.652547,0.869132,0.00075,11.57,2.66,14.23,1760.4,False
5,0.639056,0.76794,0.658872,0.670664,0.660489,0.6816,0.670824,0.813791,0.0005868240888334653,11.11,2.63,13.74,1760.4,True
6,0.589319,0.787037,0.636864,0.64362,0.634365,0.6469,0.646232,0.852523,0.00041317591116653486,11.34,2.64,13.98,1760.4,False
7,0.521918,0.811921,0.649243,0.6573,0.648441,0.660589,0.656775,0.826457,0.0002500000000000001,11.74,2.65,14.39,1760.4,False
8,0.51717,0.81684,0.654746,0.663076,0.654116,0.667194,0.661993,0.823141,0.00011697777844051105,10.98,2.64,13.63,1760.4,False
9,0.465093,0.846933,0.65337,0.661746,0.652381,0.664122,0.661257,0.839834,3.0153689607045842e-05,11.14,2.61,13.76,1760.4,False
10,0.463822,0.851562,0.65337,0.661905,0.6528,0.665345,0.660574,0.841771,0.0,11.23,2.62,13.85,1760.4,False
