wall_time,elapsed_s,epoch,global_step,step_in_epoch,loss,batch_acc,running_loss,running_acc,lr,samples_per_s,gpu_alloc_mb
7.5,7.5,1,1,1,2.088673,0.234375,2.088673,0.234375,3.7037037037037037e-05,216.93,671.0
7.53,7.53,1,2,2,2.235797,0.171875,2.162235,0.203125,5.555555555555555e-05,1850.96,671.0
7.57,7.57,1,3,3,1.675195,0.453125,1.999888,0.286458,7.407407407407407e-05,1839.51,671.0
7.6,7.6,1,4,4,1.813573,0.390625,1.953309,0.3125,9.259259259259259e-05,1872.86,671.0
8.36,8.36,1,5,5,1.619618,0.359375,1.886571,0.321875,0.0001111111111111111,1883.57,671.0
8.4,8.4,1,6,6,1.752679,0.34375,1.864256,0.325521,0.00012962962962962963,1820.96,671.0
8.43,8.43,1,7,7,1.475824,0.359375,1.808766,0.330357,0.00014814814814814815,1882.48,671.0
8.47,8.47,1,8,8,1.647236,0.34375,1.788574,0.332031,0.00016666666666666666,1809.17,671.0
9.03,9.03,1,9,9,1.237309,0.5,1.727323,0.350694,0.00018518518518518518,1872.95,671.0
9.07,9.07,1,10,10,1.16181,0.5625,1.670771,0.371875,0.0002037037037037037,1876.96,671.0
9.1,9.1,1,11,11,1.336068,0.484375,1.640344,0.382102,0.0002222222222222222,1832.17,671.0
9.14,9.14,1,12,12,1.3915,0.4375,1.619607,0.386719,0.00024074074074074072,1869.58,671.0
9.86,9.86,1,13,13,1.432092,0.359375,1.605183,0.384615,0.00025925925925925926,1770.95,671.0
9.9,9.9,1,14,14,1.310811,0.4375,1.584156,0.388393,0.0002777777777777778,1813.29,671.0
9.93,9.93,1,15,15,1.290377,0.46875,1.564571,0.39375,0.0002962962962962963,1861.56,671.0
9.97,9.97,1,16,16,1.414441,0.484375,1.555188,0.399414,0.0003148148148148148,1847.88,671.0
10.64,10.64,1,17,17,1.345307,0.5,1.542842,0.405331,0.0003333333333333333,1879.31,671.0
10.67,10.67,1,18,18,1.501973,0.4375,1.540571,0.407118,0.0003518518518518519,1810.36,671.0
10.71,10.71,1,19,19,1.369678,0.4375,1.531577,0.408717,0.00037037037037037035,1792.28,671.0
10.74,10.74,1,20,20,1.349248,0.4375,1.52246,0.410156,0.0003888888888888889,1865.07,671.0
11.33,11.33,1,21,21,1.130792,0.59375,1.50381,0.418899,0.0004074074074074074,1881.16,671.0
11.37,11.37,1,22,22,1.319653,0.484375,1.495439,0.421875,0.00042592592592592595,1886.58,671.0
11.4,11.4,1,23,23,1.311447,0.546875,1.487439,0.42731,0.0004444444444444444,1816.37,671.0
11.54,11.54,1,24,24,1.220063,0.5625,1.476298,0.432943,0.000462962962962963,1846.95,671.0
12.08,12.08,1,25,25,1.236227,0.515625,1.466696,0.43625,0.00048148148148148144,1840.15,671.0
12.11,12.11,1,26,26,1.147294,0.625,1.454411,0.44351,0.0005,1794.7,671.0
12.15,12.15,1,27,27,1.08807,0.5625,1.440843,0.447917,0.0005185185185185185,1778.18,671.0
12.3,12.3,1,28,28,1.038713,0.625,1.426481,0.454241,0.0005370370370370371,1821.85,671.0
12.96,12.96,1,29,29,1.312312,0.46875,1.422544,0.454741,0.0005555555555555556,1796.72,671.0
12.99,12.99,1,30,30,1.116089,0.515625,1.412329,0.456771,0.0005740740740740741,1874.93,671.0
13.03,13.03,1,31,31,1.054217,0.640625,1.400777,0.462702,0.0005925925925925926,1879.18,671.0
13.22,13.22,1,32,32,1.233333,0.578125,1.395544,0.466309,0.0006111111111111112,1859.87,671.0
13.7,13.7,1,33,33,1.041233,0.578125,1.384808,0.469697,0.0006296296296296296,1854.99,671.0
13.74,13.74,1,34,34,1.004275,0.625,1.373615,0.474265,0.0006481481481481481,1865.0,671.0
13.77,13.77,1,35,35,0.988449,0.65625,1.362611,0.479464,0.0006666666666666666,1847.49,671.0
13.98,13.98,1,36,36,1.065982,0.625,1.354371,0.483507,0.0006851851851851853,1824.22,671.0
14.41,14.41,1,37,37,1.070577,0.5625,1.346701,0.485642,0.0007037037037037038,1832.59,671.0
14.44,14.44,1,38,38,1.082084,0.546875,1.339737,0.487253,0.0007222222222222222,1863.09,671.0
14.48,14.48,1,39,39,0.9612,0.65625,1.330031,0.491587,0.0007407407407407407,1877.76,671.0
14.63,14.63,1,40,40,0.981909,0.625,1.321328,0.494922,0.0007592592592592593,1828.32,671.0
