wall_time,elapsed_s,epoch,global_step,step_in_epoch,loss,batch_acc,running_loss,running_acc,lr,samples_per_s,gpu_alloc_mb
7.54,7.54,1,1,1,1.856431,0.34375,1.856431,0.34375,3.7037037037037037e-05,212.46,688.5
7.6,7.6,1,2,2,1.552607,0.390625,1.704519,0.367188,5.555555555555555e-05,1120.58,688.5
7.66,7.66,1,3,3,1.820344,0.328125,1.743127,0.354167,7.407407407407407e-05,1114.62,688.5
7.72,7.72,1,4,4,1.617927,0.4375,1.711827,0.375,9.259259259259259e-05,1114.78,688.5
8.09,8.09,1,5,5,1.703588,0.328125,1.710179,0.365625,0.0001111111111111111,1122.18,688.5
8.15,8.15,1,6,6,1.543036,0.4375,1.682322,0.377604,0.00012962962962962963,1113.24,688.5
8.21,8.21,1,7,7,1.540368,0.328125,1.662043,0.370536,0.00014814814814814815,1096.39,688.5
8.27,8.27,1,8,8,1.459229,0.375,1.636691,0.371094,0.00016666666666666666,1117.58,688.5
8.87,8.87,1,9,9,1.492718,0.40625,1.620694,0.375,0.00018518518518518518,1121.69,688.5
8.93,8.93,1,10,10,1.309303,0.484375,1.589555,0.385937,0.0002037037037037037,1097.54,688.5
9.0,9.0,1,11,11,1.270943,0.453125,1.56059,0.392045,0.0002222222222222222,1099.37,688.5
9.06,9.06,1,12,12,1.15234,0.546875,1.526569,0.404948,0.00024074074074074072,1071.85,688.5
9.67,9.67,1,13,13,1.281748,0.515625,1.507737,0.413462,0.00025925925925925926,1097.71,688.5
9.73,9.73,1,14,14,1.237792,0.515625,1.488455,0.420759,0.0002777777777777778,1126.24,688.5
9.85,9.85,1,15,15,1.271295,0.46875,1.473978,0.423958,0.0002962962962962963,1098.37,688.5
9.91,9.91,1,16,16,1.468822,0.4375,1.473656,0.424805,0.0003148148148148148,1100.04,688.5
10.4,10.4,1,17,17,1.371253,0.40625,1.467632,0.423713,0.0003333333333333333,1100.92,688.5
10.47,10.47,1,18,18,1.207554,0.5,1.453183,0.427951,0.0003518518518518519,1121.35,688.5
10.72,10.72,1,19,19,1.421546,0.453125,1.451518,0.429276,0.00037037037037037035,1114.67,688.5
10.78,10.78,1,20,20,1.515193,0.453125,1.454702,0.430469,0.0003888888888888889,1114.27,688.5
11.37,11.37,1,21,21,1.25022,0.4375,1.444965,0.430804,0.0004074074074074074,1087.69,688.5
11.42,11.42,1,22,22,1.327129,0.421875,1.439608,0.430398,0.00042592592592592595,1118.73,688.5
11.48,11.48,1,23,23,1.088473,0.609375,1.424342,0.438179,0.0004444444444444444,1084.22,688.5
11.54,11.54,1,24,24,1.143861,0.546875,1.412655,0.442708,0.000462962962962963,1118.38,688.5
12.02,12.02,1,25,25,1.112142,0.578125,1.400634,0.448125,0.00048148148148148144,1117.24,688.5
12.08,12.08,1,26,26,1.040444,0.5625,1.386781,0.452524,0.0005,1098.4,688.5
12.13,12.13,1,27,27,1.127821,0.578125,1.37719,0.457176,0.0005185185185185185,1123.72,688.5
12.19,12.19,1,28,28,1.10262,0.53125,1.367384,0.459821,0.0005370370370370371,1100.05,688.5
12.81,12.81,1,29,29,0.97041,0.609375,1.353695,0.464978,0.0005555555555555556,1089.64,688.5
12.89,12.89,1,30,30,1.177482,0.515625,1.347821,0.466667,0.0005740740740740741,1101.07,688.5
12.95,12.95,1,31,31,1.22335,0.53125,1.343806,0.46875,0.0005925925925925926,1120.32,688.5
13.01,13.01,1,32,32,1.173557,0.609375,1.338486,0.473145,0.0006111111111111112,1098.01,688.5
13.59,13.59,1,33,33,1.260486,0.5,1.336122,0.473958,0.0006296296296296296,1088.12,688.5
13.78,13.78,1,34,34,1.222243,0.59375,1.332773,0.477482,0.0006481481481481481,1090.93,688.5
13.84,13.84,1,35,35,0.935041,0.59375,1.321409,0.480804,0.0006666666666666666,1115.44,688.5
13.9,13.9,1,36,36,1.094903,0.5625,1.315117,0.483073,0.0006851851851851853,1116.61,688.5
14.42,14.42,1,37,37,1.034113,0.625,1.307522,0.486909,0.0007037037037037038,1097.89,688.5
14.61,14.61,1,38,38,1.266652,0.46875,1.306447,0.486431,0.0007222222222222222,1080.54,688.5
14.66,14.66,1,39,39,1.08148,0.5625,1.300679,0.488381,0.0007407407407407407,1088.19,688.5
14.73,14.73,1,40,40,1.02246,0.640625,1.293723,0.492188,0.0007592592592592593,1063.36,688.5
15.23,15.23,1,41,41,0.994594,0.609375,1.286427,0.495046,0.0007777777777777778,1114.96,688.5
15.49,15.49,1,42,42,0.911626,0.640625,1.277503,0.498512,0.0007962962962962962,1113.2,688.5
15.55,15.55,1,43,43,1.074012,0.5625,1.272771,0.5,0.0008148148148148148,1075.43,688.5
15.61,15.61,1,44,44,1.085648,0.59375,1.268518,0.502131,0.0008333333333333334,1118.82,688.5
15.97,15.97,1,45,45,0.967422,0.65625,1.261827,0.505556,0.0008518518518518519,1121.71,688.5
16.31,16.31,1,46,46,0.977893,0.625,1.255655,0.508152,0.0008703703703703704,1109.33,688.5
16.36,16.36,1,47,47,1.059154,0.6875,1.251474,0.511968,0.0008888888888888888,1099.74,688.5
