epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
0,,,0.361761,0.312544,0.296331,0.428281,0.391779,1.134967,1.8518518518518518e-05,0.0,0.0,0.0,,False
1,1.220966,0.519676,0.65337,0.668602,0.660342,0.697312,0.654341,0.868969,0.001,11.29,2.64,13.93,1833.5,True
2,0.824352,0.688368,0.658872,0.664818,0.656495,0.721461,0.654662,0.898058,0.0009698463103929542,10.87,2.59,13.46,1833.5,False
3,0.636769,0.765914,0.672627,0.684285,0.676535,0.701918,0.67412,0.814282,0.000883022221559489,11.69,2.84,14.53,1833.5,True
4,0.423436,0.854745,0.682256,0.691626,0.685305,0.717054,0.68056,0.787682,0.00075,10.98,2.67,13.65,1833.5,True
5,0.237771,0.926794,0.68088,0.686928,0.678813,0.689131,0.68781,0.754973,0.0005868240888334653,11.47,2.62,14.09,1833.5,False
6,0.095557,0.975116,0.674003,0.684182,0.675981,0.698861,0.678265,0.769645,0.00041317591116653486,11.06,2.62,13.68,1833.5,False
7,0.030145,0.997106,0.675378,0.683488,0.672863,0.682697,0.688742,0.75577,0.0002500000000000001,11.42,2.61,14.04,1833.5,False
8,0.009613,0.998553,0.683631,0.693831,0.683955,0.69746,0.694592,0.725394,0.00011697777844051105,11.11,2.63,13.74,1833.5,True
9,0.004806,0.999421,0.686382,0.696021,0.68733,0.698919,0.695319,0.731566,3.0153689607045842e-05,11.12,2.7,13.82,1833.5,True
10,0.003777,0.999711,0.685007,0.694878,0.686048,0.69845,0.694041,0.731456,0.0,11.25,2.62,13.87,1833.5,False
