wall_time,elapsed_s,epoch,global_step,step_in_epoch,loss,batch_acc,running_loss,running_acc,lr,samples_per_s,gpu_alloc_mb
14.66,14.66,1,1,1,1.735806,0.375,1.735806,0.375,1.8691588785046727e-05,85.06,1750.7
14.86,14.86,1,2,2,1.686734,0.375,1.71127,0.375,2.8037383177570094e-05,164.54,1750.7
15.06,15.06,1,3,3,1.551234,0.375,1.657925,0.375,3.7383177570093454e-05,163.18,1750.7
15.25,15.25,1,4,4,2.130389,0.25,1.776041,0.34375,4.672897196261682e-05,164.18,1750.7
15.45,15.45,1,5,5,1.77698,0.3125,1.776229,0.3375,5.607476635514019e-05,164.58,1750.7
15.64,15.64,1,6,6,1.538501,0.5625,1.736608,0.375,6.542056074766355e-05,161.67,1750.7
15.84,15.84,1,7,7,1.476505,0.4375,1.69945,0.383929,7.476635514018691e-05,164.3,1750.7
16.04,16.04,1,8,8,1.463941,0.40625,1.670011,0.386719,8.411214953271028e-05,163.67,1750.7
16.23,16.23,1,9,9,1.323344,0.4375,1.631493,0.392361,9.345794392523364e-05,163.26,1750.7
16.43,16.43,1,10,10,1.452992,0.4375,1.613643,0.396875,0.00010280373831775701,164.68,1750.7
16.62,16.62,1,11,11,1.648029,0.40625,1.616769,0.397727,0.00011214953271028037,163.83,1750.7
16.82,16.82,1,12,12,1.422323,0.4375,1.600565,0.401042,0.00012149532710280373,163.32,1750.7
17.01,17.01,1,13,13,1.391183,0.53125,1.584459,0.411058,0.0001308411214953271,164.11,1750.7
17.21,17.21,1,14,14,1.461295,0.46875,1.575661,0.415179,0.00014018691588785047,162.39,1750.7
17.41,17.41,1,15,15,1.222851,0.40625,1.552141,0.414583,0.00014953271028037381,161.15,1750.7
17.61,17.61,1,16,16,1.466761,0.4375,1.546804,0.416016,0.0001588785046728972,159.69,1750.7
17.81,17.81,1,17,17,1.528744,0.375,1.545742,0.413603,0.00016822429906542056,159.61,1750.7
18.01,18.01,1,18,18,1.045889,0.59375,1.517972,0.423611,0.0001775700934579439,160.96,1750.7
18.21,18.21,1,19,19,1.25283,0.4375,1.504018,0.424342,0.00018691588785046728,162.33,1750.7
18.4,18.4,1,20,20,1.36689,0.46875,1.497161,0.426563,0.00019626168224299065,163.68,1750.7
18.6,18.6,1,21,21,1.220625,0.5625,1.483993,0.433036,0.00020560747663551403,164.23,1750.7
18.8,18.8,1,22,22,1.396604,0.40625,1.480021,0.431818,0.00021495327102803737,163.83,1750.7
18.99,18.99,1,23,23,1.442018,0.4375,1.478368,0.432065,0.00022429906542056075,163.2,1750.7
19.19,19.19,1,24,24,1.12948,0.59375,1.463831,0.438802,0.00023364485981308412,164.28,1750.7
19.38,19.38,1,25,25,1.056216,0.53125,1.447527,0.4425,0.00024299065420560747,163.45,1750.7
19.58,19.58,1,26,26,1.443622,0.5625,1.447376,0.447115,0.00025233644859813084,164.58,1750.7
19.77,19.77,1,27,27,0.98722,0.53125,1.430334,0.450231,0.0002616822429906542,163.67,1750.7
19.97,19.97,1,28,28,1.33453,0.625,1.426912,0.456473,0.00027102803738317753,163.01,1750.7
20.17,20.17,1,29,29,0.970527,0.5625,1.411175,0.460129,0.00028037383177570094,164.52,1750.7
20.36,20.36,1,30,30,1.294879,0.5,1.407298,0.461458,0.0002897196261682243,164.28,1750.7
20.56,20.56,1,31,31,1.284227,0.4375,1.403328,0.460685,0.00029906542056074763,163.53,1750.7
20.76,20.76,1,32,32,1.193095,0.4375,1.396758,0.459961,0.00030841121495327103,162.26,1750.7
20.95,20.95,1,33,33,1.220057,0.5,1.391404,0.461174,0.0003177570093457944,164.11,1750.7
