epoch,train_loss,train_acc,val_acc,val_macro_f1,val_weighted_f1,val_macro_precision,val_macro_recall,val_mmae,lr_end,train_time_s,val_time_s,epoch_time_s,gpu_peak_mb,is_best
0,,,0.42641,0.381802,0.362586,0.460382,0.456366,1.061581,9.345794392523363e-06,0.0,0.0,0.0,,False
1,1.082359,0.585572,0.646492,0.654702,0.641962,0.666251,0.66178,0.810596,0.001,21.79,5.05,26.83,2020.8,True
2,0.843006,0.6875,0.672627,0.683907,0.67437,0.697529,0.681592,0.803674,0.0009698463103929542,21.51,5.03,26.54,2020.8,True
3,0.729264,0.725467,0.651994,0.658846,0.65223,0.730358,0.642802,0.933588,0.000883022221559489,21.5,5.02,26.51,2020.8,False
4,0.668827,0.747664,0.683631,0.694065,0.682397,0.696492,0.697082,0.769407,0.00075,21.44,5.02,26.47,2020.8,True
5,0.625674,0.768692,0.667125,0.675286,0.664248,0.677625,0.682039,0.80863,0.0005868240888334653,21.46,5.03,26.49,2020.8,False
6,0.589588,0.787383,0.698762,0.71289,0.703765,0.734712,0.701097,0.769788,0.00041317591116653486,21.47,5.03,26.5,2020.8,True
7,0.568894,0.790888,0.682256,0.696801,0.684147,0.7086,0.697206,0.783192,0.0002500000000000001,21.47,5.02,26.49,2020.8,False
8,0.530155,0.809287,0.687758,0.701802,0.692619,0.718244,0.691522,0.789027,0.00011697777844051105,21.52,5.03,26.55,2020.8,False
9,0.519515,0.816005,0.683631,0.69512,0.686194,0.706369,0.688186,0.790805,3.0153689607045842e-05,21.47,5.01,26.48,2020.8,False
10,0.50681,0.826519,0.682256,0.695031,0.68585,0.706598,0.687077,0.791361,0.0,21.55,5.03,26.58,2020.8,False
