elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.0,0.0,2728.382464,1,3044,51,1750.7,2290.1
30.1,103.6,2762.448896,99,3100,67,1750.7,2290.1
45.1,97.4,2771.10784,100,3047,68,1750.7,2292.2
60.1,103.5,2771.136512,99,3099,69,1750.7,2292.2
75.1,97.4,2771.226624,99,3045,69,1750.7,2292.2
90.2,100.9,2775.576576,100,3106,68,1751.3,2292.2
105.2,100.8,2771.255296,100,3041,69,1750.7,2292.2
120.2,100.4,2771.23072,1,3101,56,1732.0,2292.2
135.3,101.1,2771.316736,100,3045,70,1750.7,2292.2
150.3,97.8,2771.3536,99,3105,69,1750.7,2292.2
165.3,103.6,2771.365888,100,3041,70,1750.7,2292.2
180.3,97.9,2771.37408,99,3101,70,1750.7,2292.2
195.4,100.8,2775.764992,100,3045,66,1751.3,2292.2
210.4,100.6,2771.386368,100,3105,69,1750.7,2292.2
225.4,100.7,2771.390464,99,3045,70,1751.3,2292.2
240.4,100.6,2771.390464,100,3101,70,1750.7,2292.2
255.5,97.4,2771.443712,100,3045,69,1750.7,2292.2
270.5,103.4,2771.47648,99,3105,70,1750.7,2292.2
