wall_time,elapsed_s,epoch,global_step,step_in_epoch,loss,batch_acc,running_loss,running_acc,lr,samples_per_s,gpu_alloc_mb
5.41,5.41,1,1,1,1.659551,0.0,1.659551,0.0,5e-05,26.63,3091.3
5.58,5.58,1,2,2,1.589366,0.1875,1.624458,0.09375,5e-05,96.81,3086.5
5.74,5.74,1,3,3,1.613291,0.3125,1.620736,0.166667,5e-05,98.25,3088.5
5.91,5.91,1,4,4,1.675319,0.125,1.634382,0.15625,5e-05,98.88,3086.0
6.07,6.07,1,5,5,1.596701,0.125,1.626846,0.15,5e-05,99.07,3088.5
6.23,6.23,1,6,6,1.640779,0.1875,1.629168,0.15625,5e-05,99.7,3086.0
6.39,6.39,1,7,7,1.591305,0.3125,1.623759,0.178571,5e-05,98.84,3088.5
6.55,6.55,1,8,8,1.618078,0.0625,1.623049,0.164062,5e-05,99.43,3086.0
6.71,6.71,1,9,9,1.532463,0.4375,1.612984,0.194444,5e-05,99.1,3088.5
6.88,6.88,1,10,10,1.582882,0.3125,1.609974,0.20625,5e-05,98.52,3086.0
7.04,7.04,1,11,11,1.655226,0.1875,1.614087,0.204545,5e-05,99.4,3088.5
7.2,7.2,1,12,12,1.574253,0.3125,1.610768,0.213542,5e-05,100.06,3086.0
7.36,7.36,1,13,13,1.545305,0.375,1.605732,0.225962,5e-05,97.15,3088.5
7.53,7.53,1,14,14,1.524245,0.375,1.599912,0.236607,5e-05,95.91,3086.0
7.7,7.7,1,15,15,1.602537,0.25,1.600087,0.2375,5e-05,96.77,3088.5
7.86,7.86,1,16,16,1.550034,0.3125,1.596959,0.242188,5e-05,99.44,3086.0
8.02,8.02,1,17,17,1.573554,0.4375,1.595582,0.253676,5e-05,98.14,3088.5
8.18,8.18,1,18,18,1.632156,0.1875,1.597614,0.25,5e-05,98.98,3086.0
8.35,8.35,1,19,19,1.494677,0.5625,1.592196,0.266447,5e-05,99.33,3088.5
8.51,8.51,1,20,20,1.559845,0.25,1.590578,0.265625,5e-05,96.63,3086.0
8.68,8.68,1,21,21,1.57858,0.1875,1.590007,0.261905,5e-05,98.0,3088.5
8.84,8.84,1,22,22,1.501305,0.1875,1.585975,0.258523,5e-05,98.12,3086.0
9.0,9.0,1,23,23,1.395483,0.5,1.577693,0.269022,5e-05,97.36,3088.5
9.17,9.17,1,24,24,1.418955,0.4375,1.571079,0.276042,5e-05,95.83,3086.0
9.33,9.33,1,25,25,1.541678,0.375,1.569903,0.28,5e-05,98.39,3088.5
9.5,9.5,1,26,26,1.551492,0.3125,1.569195,0.28125,5e-05,99.03,3086.0
9.66,9.66,1,27,27,1.395719,0.4375,1.56277,0.287037,5e-05,96.26,3088.5
9.82,9.82,1,28,28,1.497519,0.375,1.560439,0.290179,5e-05,98.91,3086.0
9.99,9.99,1,29,29,1.485713,0.4375,1.557863,0.295259,5e-05,95.64,3088.5
10.17,10.17,1,30,30,1.440921,0.375,1.553964,0.297917,5e-05,92.28,3086.0
10.33,10.33,1,31,31,1.47275,0.3125,1.551345,0.298387,5e-05,97.24,3088.5
10.5,10.5,1,32,32,1.497375,0.375,1.549658,0.300781,5e-05,97.16,3086.0
10.66,10.66,1,33,33,1.316679,0.625,1.542598,0.310606,5e-05,98.82,3088.5
10.82,10.82,1,34,34,1.321497,0.625,1.536095,0.319853,5e-05,98.42,3086.0
10.98,10.98,1,35,35,1.316268,0.5625,1.529814,0.326786,5e-05,99.24,3088.5
11.15,11.15,1,36,36,1.474019,0.5,1.528265,0.331597,5e-05,98.7,3086.0
11.31,11.31,1,37,37,1.314336,0.5625,1.522483,0.337838,5e-05,98.19,3088.5
11.47,11.47,1,38,38,1.289442,0.4375,1.51635,0.340461,5e-05,99.51,3086.0
11.63,11.63,1,39,39,1.384244,0.5,1.512963,0.344551,5e-05,98.13,3088.5
11.8,11.8,1,40,40,0.995144,0.75,1.500017,0.354687,5e-05,96.33,3086.0
11.96,11.96,1,41,41,1.354057,0.5,1.496457,0.358232,5e-05,99.5,3088.5
12.13,12.13,1,42,42,1.311105,0.5625,1.492044,0.363095,5e-05,98.06,3086.0
12.29,12.29,1,43,43,1.420854,0.4375,1.490389,0.364826,5e-05,99.16,3088.5
12.45,12.45,1,44,44,1.292211,0.4375,1.485884,0.366477,5e-05,99.32,3086.0
12.62,12.62,1,45,45,1.2326,0.5625,1.480256,0.370833,5e-05,92.45,3088.5
12.8,12.8,1,46,46,1.565083,0.1875,1.4821,0.366848,5e-05,93.33,3086.0
12.97,12.97,1,47,47,1.187303,0.5625,1.475828,0.371011,5e-05,93.18,3088.5
13.14,13.14,1,48,48,1.14912,0.5625,1.469021,0.375,5e-05,93.31,3086.0
13.31,13.31,1,49,49,1.27372,0.375,1.465036,0.375,5e-05,93.02,3088.5
13.48,13.48,1,50,50,0.979238,0.8125,1.45532,0.38375,5e-05,93.4,3086.0
13.66,13.66,1,51,51,1.100545,0.5,1.448363,0.386029,5e-05,93.24,3088.5
13.83,13.83,1,52,52,1.312295,0.25,1.445747,0.383413,5e-05,93.73,3086.0
14.0,14.0,1,53,53,1.133347,0.6875,1.439852,0.389151,5e-05,93.16,3088.5
14.17,14.17,1,54,54,1.22664,0.4375,1.435904,0.390046,5e-05,95.47,3086.0
14.34,14.34,1,55,55,1.205861,0.375,1.431721,0.389773,5e-05,94.77,3088.5
14.5,14.5,1,56,56,1.239974,0.5625,1.428297,0.392857,5e-05,96.05,3086.0
14.67,14.67,1,57,57,1.461944,0.3125,1.428887,0.391447,5e-05,97.03,3088.5
14.84,14.84,1,58,58,1.143133,0.4375,1.423961,0.392241,5e-05,93.82,3086.0
15.0,15.0,1,59,59,1.074612,0.5625,1.41804,0.395127,5e-05,98.1,3088.5
15.17,15.17,1,60,60,1.489913,0.25,1.419237,0.392708,5e-05,98.98,3086.0
15.34,15.34,1,61,61,1.21124,0.5625,1.415828,0.395492,5e-05,94.79,3088.5
15.5,15.5,1,62,62,1.199238,0.5,1.412334,0.397177,5e-05,98.39,3086.0
15.66,15.66,1,63,63,1.349228,0.3125,1.411333,0.395833,5e-05,97.36,3088.5
15.83,15.83,1,64,64,1.236339,0.375,1.408598,0.395508,5e-05,95.43,3086.0
16.0,16.0,1,65,65,1.098559,0.5,1.403828,0.397115,5e-05,97.56,3088.5
16.16,16.16,1,66,66,0.968004,0.625,1.397225,0.400568,5e-05,97.98,3086.0
16.33,16.33,1,67,67,1.177093,0.5,1.393939,0.402052,5e-05,95.8,3088.5
16.49,16.49,1,68,68,0.971582,0.5625,1.387728,0.404412,5e-05,97.78,3086.0
16.66,16.66,1,69,69,0.960577,0.6875,1.381538,0.408514,5e-05,97.26,3088.5
16.82,16.82,1,70,70,0.95333,0.6875,1.37542,0.4125,5e-05,98.12,3086.0
16.98,16.98,1,71,71,0.957763,0.5,1.369538,0.413732,5e-05,98.76,3088.5
17.15,17.15,1,72,72,1.080096,0.5625,1.365518,0.415799,5e-05,95.6,3086.0
17.32,17.32,1,73,73,1.28232,0.4375,1.364378,0.416096,5e-05,93.32,3088.5
17.49,17.49,1,74,74,1.177005,0.5625,1.361846,0.418074,5e-05,97.26,3086.0
17.65,17.65,1,75,75,1.583127,0.375,1.364797,0.4175,5e-05,97.67,3088.5
17.82,17.82,1,76,76,1.01775,0.625,1.36023,0.42023,5e-05,97.73,3086.0
17.98,17.98,1,77,77,0.903453,0.5625,1.354298,0.422078,5e-05,97.98,3088.5
18.15,18.15,1,78,78,0.856278,0.6875,1.347913,0.425481,5e-05,96.59,3086.0
18.31,18.31,1,79,79,0.705299,0.875,1.339779,0.431171,5e-05,96.29,3088.5
18.48,18.48,1,80,80,1.142142,0.5,1.337308,0.432031,5e-05,93.64,3086.0
18.65,18.65,1,81,81,0.902056,0.5625,1.331935,0.433642,5e-05,94.17,3088.5
18.83,18.83,1,82,82,1.178051,0.5,1.330058,0.434451,5e-05,93.07,3086.0
18.99,18.99,1,83,83,0.714551,0.75,1.322642,0.438253,5e-05,95.26,3088.5
19.16,19.16,1,84,84,1.030506,0.5625,1.319165,0.439732,5e-05,95.06,3086.0
19.33,19.33,1,85,85,1.085026,0.5625,1.31641,0.441176,5e-05,94.35,3088.5
19.5,19.5,1,86,86,0.903879,0.5,1.311613,0.44186,5e-05,95.31,3086.0
19.67,19.67,1,87,87,0.981906,0.5625,1.307823,0.443247,5e-05,94.98,3088.5
19.83,19.83,1,88,88,1.540298,0.375,1.310465,0.442472,5e-05,98.93,3086.0
20.0,20.0,1,89,89,1.318163,0.5625,1.310552,0.44382,5e-05,95.72,3088.5
20.17,20.17,1,90,90,1.249331,0.5,1.309871,0.444444,5e-05,94.83,3086.0
20.34,20.34,1,91,91,1.299457,0.375,1.309757,0.443681,5e-05,94.87,3088.5
20.51,20.51,1,92,92,1.330109,0.5,1.309978,0.444293,5e-05,94.47,3086.0
20.68,20.68,1,93,93,1.012818,0.625,1.306783,0.446237,5e-05,94.41,3088.5
20.84,20.84,1,94,94,0.84815,0.6875,1.301904,0.448803,5e-05,96.72,3086.0
21.01,21.01,1,95,95,1.175612,0.5,1.300575,0.449342,5e-05,97.58,3088.5
21.18,21.18,1,96,96,0.845061,0.75,1.29583,0.452474,5e-05,94.87,3086.0
21.34,21.34,1,97,97,1.173473,0.4375,1.294568,0.45232,5e-05,95.99,3088.5
21.51,21.51,1,98,98,1.113627,0.625,1.292722,0.454082,5e-05,94.55,3086.0
21.68,21.68,1,99,99,0.929625,0.5625,1.289054,0.455177,5e-05,94.47,3088.5
21.86,21.86,1,100,100,1.075171,0.6875,1.286915,0.4575,5e-05,92.91,3086.0
22.03,22.03,1,101,101,1.108452,0.625,1.285148,0.459158,5e-05,91.17,3088.5
22.21,22.21,1,102,102,1.507909,0.25,1.287332,0.457108,5e-05,92.28,3086.0
22.38,22.38,1,103,103,1.318803,0.5,1.287638,0.457524,5e-05,93.75,3088.5
22.55,22.55,1,104,104,1.16926,0.5625,1.2865,0.458534,5e-05,93.68,3086.0
22.73,22.73,1,105,105,1.017034,0.5,1.283933,0.458929,5e-05,90.89,3088.5
22.89,22.89,1,106,106,0.709465,0.75,1.278514,0.461675,5e-05,96.89,3086.0
23.06,23.06,1,107,107,1.018105,0.6875,1.27608,0.463785,5e-05,94.1,3088.5
23.23,23.23,1,108,108,0.816039,0.6875,1.27182,0.465856,5e-05,93.35,3086.0
23.4,23.4,1,109,109,1.13873,0.5,1.270599,0.46617,5e-05,94.12,3088.5
23.57,23.57,1,110,110,1.359137,0.5,1.271404,0.466477,5e-05,94.52,3086.0
23.74,23.74,1,111,111,0.890453,0.6875,1.267972,0.468468,5e-05,94.58,3088.5
23.91,23.91,1,112,112,1.02824,0.6875,1.265832,0.470424,5e-05,94.39,3086.0
24.09,24.09,1,113,113,0.625193,0.8125,1.260162,0.473451,5e-05,93.41,3088.5
24.25,24.25,1,114,114,0.646883,0.75,1.254783,0.475877,5e-05,95.42,3086.0
24.42,24.42,1,115,115,1.113171,0.5,1.253551,0.476087,5e-05,94.54,3088.5
24.59,24.59,1,116,116,1.106272,0.5625,1.252282,0.476832,5e-05,94.57,3086.0
24.76,24.76,1,117,117,1.033695,0.6875,1.250413,0.478632,5e-05,94.18,3088.5
24.93,24.93,1,118,118,1.393475,0.375,1.251626,0.477754,5e-05,94.36,3086.0
25.11,25.11,1,119,119,1.536143,0.4375,1.254017,0.477416,5e-05,93.26,3088.5
25.28,25.28,1,120,120,0.704559,0.8125,1.249438,0.480208,5e-05,93.9,3086.0
25.44,25.44,1,121,121,0.895959,0.5625,1.246517,0.480888,5e-05,95.37,3088.5
25.61,25.61,1,122,122,0.688411,0.8125,1.241942,0.483607,5e-05,95.46,3086.0
25.78,25.78,1,123,123,0.915218,0.625,1.239286,0.484756,5e-05,97.47,3088.5
25.94,25.94,1,124,124,1.031609,0.5625,1.237611,0.485383,5e-05,96.61,3086.0
26.11,26.11,1,125,125,1.227359,0.5,1.237529,0.4855,5e-05,94.11,3088.5
26.28,26.28,1,126,126,1.005085,0.5625,1.235684,0.486111,5e-05,93.67,3086.0
26.45,26.45,1,127,127,1.388523,0.375,1.236888,0.485236,5e-05,98.62,3088.5
26.61,26.61,1,128,128,0.989081,0.6875,1.234952,0.486816,5e-05,98.12,3086.0
26.77,26.77,1,129,129,1.044987,0.625,1.233479,0.487888,5e-05,97.65,3088.5
26.95,26.95,1,130,130,1.000626,0.625,1.231688,0.488942,5e-05,91.72,3086.0
27.12,27.12,1,131,131,1.289968,0.375,1.232133,0.488073,5e-05,93.21,3088.5
27.3,27.3,1,132,132,1.091988,0.4375,1.231071,0.487689,5e-05,92.46,3086.0
27.47,27.47,1,133,133,0.679798,0.875,1.226926,0.490602,5e-05,93.96,3088.5
27.64,27.64,1,134,134,0.854187,0.6875,1.224144,0.492071,5e-05,93.23,3086.0
27.8,27.8,1,135,135,0.931852,0.875,1.221979,0.494907,5e-05,96.21,3088.5
27.97,27.97,1,136,136,0.48761,0.875,1.21658,0.497702,5e-05,97.37,3086.0
28.13,28.13,1,137,137,1.061523,0.6875,1.215448,0.499088,5e-05,98.83,3088.5
28.3,28.3,1,138,138,1.065652,0.625,1.214362,0.5,5e-05,97.54,3086.0
28.46,28.46,1,139,139,0.989571,0.6875,1.212745,0.501349,5e-05,95.51,3088.5
28.63,28.63,1,140,140,1.032688,0.75,1.211459,0.503125,5e-05,98.31,3086.0
28.79,28.79,1,141,141,0.978438,0.5,1.209806,0.503103,5e-05,96.45,3088.5
28.96,28.96,1,142,142,0.77667,0.75,1.206756,0.504842,5e-05,95.13,3086.0
29.13,29.13,1,143,143,0.866731,0.75,1.204378,0.506556,5e-05,94.64,3088.5
29.3,29.3,1,144,144,1.032879,0.625,1.203187,0.507378,5e-05,95.04,3086.0
29.47,29.47,1,145,145,0.807757,0.5625,1.20046,0.507759,5e-05,96.42,3088.5
29.64,29.64,1,146,146,0.798599,0.875,1.197708,0.510274,5e-05,95.18,3086.0
29.8,29.8,1,147,147,0.987327,0.625,1.196277,0.511054,5e-05,95.13,3088.5
29.97,29.97,1,148,148,0.721645,0.75,1.19307,0.512669,5e-05,96.06,3086.0
30.14,30.14,1,149,149,0.984725,0.5625,1.191671,0.513003,5e-05,96.65,3088.5
30.3,30.3,1,150,150,0.989348,0.6875,1.190322,0.514167,5e-05,97.65,3086.0
30.46,30.46,1,151,151,0.741849,0.8125,1.187352,0.516142,5e-05,99.03,3088.5
30.63,30.63,1,152,152,0.851374,0.75,1.185142,0.517681,5e-05,98.69,3086.0
30.79,30.79,1,153,153,0.852448,0.75,1.182968,0.519199,5e-05,99.47,3088.5
30.95,30.95,1,154,154,0.819278,0.6875,1.180606,0.520292,5e-05,99.48,3086.0
31.11,31.11,1,155,155,0.917083,0.5,1.178906,0.520161,5e-05,96.84,3088.5
31.28,31.28,1,156,156,0.838331,0.6875,1.176723,0.521234,5e-05,96.12,3086.0
31.45,31.45,1,157,157,0.366248,0.875,1.17156,0.523487,5e-05,94.08,3088.5
31.62,31.62,1,158,158,0.702587,0.75,1.168592,0.524921,5e-05,94.95,3086.0
31.79,31.79,1,159,159,1.086275,0.5,1.168075,0.524764,5e-05,95.83,3088.5
31.96,31.96,1,160,160,0.529986,0.75,1.164086,0.526172,5e-05,94.33,3086.0
32.13,32.13,1,161,161,0.772145,0.8125,1.161652,0.52795,5e-05,94.64,3088.5
32.29,32.29,1,162,162,0.853895,0.75,1.159752,0.529321,5e-05,97.67,3086.0
32.46,32.46,1,163,163,0.916756,0.5,1.158262,0.529141,5e-05,96.62,3088.5
32.62,32.62,1,164,164,0.839866,0.75,1.15632,0.530488,5e-05,96.62,3086.0
32.79,32.79,1,165,165,0.494824,0.9375,1.152311,0.532955,5e-05,95.62,3088.5
32.96,32.96,1,166,166,0.769752,0.6875,1.150006,0.533886,5e-05,97.79,3086.0
33.12,33.12,1,167,167,0.664201,0.75,1.147097,0.53518,5e-05,96.94,3088.5
33.29,33.29,1,168,168,0.77784,0.6875,1.144899,0.536086,5e-05,95.56,3086.0
33.45,33.45,1,169,169,1.005919,0.5625,1.144077,0.536243,5e-05,96.58,3088.5
33.62,33.62,1,170,170,0.652552,0.75,1.141186,0.5375,5e-05,96.53,3086.0
33.79,33.79,1,171,171,0.82216,0.6875,1.13932,0.538377,5e-05,97.09,3088.5
33.95,33.95,1,172,172,0.731605,0.625,1.13695,0.538881,5e-05,96.41,3086.0
34.12,34.12,1,173,173,0.59673,0.75,1.133827,0.540101,5e-05,93.13,3088.5
34.3,34.3,1,174,174,0.963274,0.5625,1.132847,0.54023,5e-05,93.11,3086.0
34.46,34.46,1,175,175,0.965207,0.75,1.131889,0.541429,5e-05,96.63,3088.5
34.63,34.63,1,176,176,0.891572,0.625,1.130523,0.541903,5e-05,97.38,3086.0
34.79,34.79,1,177,177,0.985736,0.625,1.129705,0.542373,5e-05,98.3,3088.5
34.96,34.96,1,178,178,0.986828,0.625,1.128903,0.542837,5e-05,97.09,3086.0
35.12,35.12,1,179,179,0.912348,0.75,1.127693,0.543994,5e-05,98.47,3088.5
35.28,35.28,1,180,180,0.697556,0.6875,1.125303,0.544792,5e-05,99.45,3086.0
35.44,35.44,1,181,181,0.748537,0.6875,1.123222,0.54558,5e-05,98.45,3088.5
35.61,35.61,1,182,182,1.295005,0.5,1.124166,0.54533,5e-05,97.75,3086.0
35.77,35.77,1,183,183,0.966524,0.5625,1.123304,0.545423,5e-05,97.64,3088.5
35.94,35.94,1,184,184,0.954211,0.625,1.122385,0.545856,5e-05,97.06,3086.0
36.12,36.12,1,185,185,0.868758,0.625,1.121014,0.546284,5e-05,88.9,3088.5
36.29,36.29,1,186,186,0.96534,0.625,1.120177,0.546707,5e-05,93.26,3086.0
36.46,36.46,1,187,187,1.014951,0.5625,1.119615,0.546791,5e-05,95.18,3088.5
36.63,36.63,1,188,188,1.101757,0.5625,1.11952,0.546875,5e-05,95.44,3086.0
36.8,36.8,1,189,189,0.788099,0.625,1.117766,0.547288,5e-05,92.44,3088.5
36.97,36.97,1,190,190,0.879993,0.625,1.116515,0.547697,5e-05,92.43,3086.0
37.14,37.14,1,191,191,0.744124,0.6875,1.114565,0.548429,5e-05,95.09,3088.5
37.31,37.31,1,192,192,0.805251,0.6875,1.112954,0.549154,5e-05,96.78,3086.0
37.48,37.48,1,193,193,0.867675,0.75,1.111683,0.550194,5e-05,96.2,3088.5
37.64,37.64,1,194,194,1.06165,0.5625,1.111425,0.550258,5e-05,95.02,3086.0
37.81,37.81,1,195,195,0.618958,0.8125,1.1089,0.551603,5e-05,93.8,3088.5
37.98,37.98,1,196,196,0.843516,0.75,1.107546,0.552615,5e-05,95.23,3086.0
38.15,38.15,1,197,197,0.722625,0.6875,1.105592,0.553299,5e-05,96.85,3088.5
38.31,38.31,1,198,198,0.738447,0.6875,1.103737,0.553977,5e-05,96.71,3086.0
38.48,38.48,1,199,199,0.490859,0.9375,1.100658,0.555905,5e-05,95.46,3088.5
38.65,38.65,1,200,200,1.012318,0.5625,1.100216,0.555937,5e-05,95.52,3086.0
38.82,38.82,1,201,201,0.889955,0.625,1.09917,0.556281,5e-05,94.72,3088.5
38.99,38.99,1,202,202,0.627968,0.8125,1.096837,0.55755,5e-05,94.78,3086.0
39.16,39.16,1,203,203,0.738267,0.6875,1.095071,0.55819,5e-05,95.57,3088.5
39.32,39.32,1,204,204,0.945872,0.625,1.09434,0.558517,5e-05,96.19,3086.0
