elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
16.0,0.0,2388.938752,99,5088,67,2424.3,4013.9
31.0,102.4,2388.967424,99,5113,76,3088.5,4013.9
46.1,100.9,2453.614592,20,5132,62,3081.8,4037.0
61.1,100.7,2453.884928,99,5128,79,2424.3,4037.0
76.2,102.4,2453.889024,99,5109,73,3086.0,4037.0
91.2,67.5,2453.991424,99,5109,77,3099.2,4037.0
106.2,100.0,2454.081536,98,5109,80,3088.5,4037.0
121.2,102.4,2454.085632,99,5110,80,2424.3,4037.0
136.3,100.6,2454.163456,99,5109,80,2424.3,4037.0
151.3,102.3,2454.183936,99,5107,77,3086.0,4037.0
166.3,102.3,2454.183936,99,5107,80,3086.0,4037.0
181.3,99.8,2454.192128,99,5107,77,2424.3,4037.0
196.4,102.4,2454.212608,99,5106,80,3088.5,4037.0
211.4,101.4,2454.274048,99,5106,79,3099.2,4037.0
