wall_time,elapsed_s,epoch,global_step,step_in_epoch,loss,batch_acc,running_loss,running_acc,lr,samples_per_s,gpu_alloc_mb
5.56,5.56,1,1,1,1.648165,0.125,1.648165,0.125,5e-05,26.13,3091.3
5.72,5.72,1,2,2,1.6009,0.25,1.624532,0.1875,5e-05,97.63,3086.5
5.89,5.89,1,3,3,1.614647,0.3125,1.621237,0.229167,5e-05,97.6,3088.5
6.05,6.05,1,4,4,1.685012,0.125,1.637181,0.203125,5e-05,96.87,3086.0
6.22,6.22,1,5,5,1.612016,0.125,1.632148,0.1875,5e-05,96.97,3088.5
6.39,6.39,1,6,6,1.655282,0.125,1.636004,0.177083,5e-05,96.97,3086.0
6.55,6.55,1,7,7,1.577864,0.3125,1.627698,0.196429,5e-05,96.31,3088.5
6.72,6.72,1,8,8,1.601847,0.0625,1.624467,0.179688,5e-05,96.45,3086.0
6.89,6.89,1,9,9,1.554403,0.375,1.616682,0.201389,5e-05,96.37,3088.5
7.05,7.05,1,10,10,1.581165,0.25,1.61313,0.20625,5e-05,96.44,3086.0
7.22,7.22,1,11,11,1.648942,0.1875,1.616386,0.204545,5e-05,96.93,3088.5
7.38,7.38,1,12,12,1.601496,0.3125,1.615145,0.213542,5e-05,97.05,3086.0
7.55,7.55,1,13,13,1.532326,0.375,1.608774,0.225962,5e-05,95.59,3088.5
7.72,7.72,1,14,14,1.515469,0.5,1.60211,0.245536,5e-05,95.97,3086.0
7.89,7.89,1,15,15,1.590676,0.3125,1.601347,0.25,5e-05,95.48,3088.5
8.05,8.05,1,16,16,1.551008,0.1875,1.598201,0.246094,5e-05,96.56,3086.0
8.22,8.22,1,17,17,1.570129,0.3125,1.59655,0.25,5e-05,96.96,3088.5
8.39,8.39,1,18,18,1.601205,0.25,1.596808,0.25,5e-05,93.06,3086.0
8.56,8.56,1,19,19,1.533441,0.5,1.593473,0.263158,5e-05,92.4,3088.5
8.73,8.73,1,20,20,1.559933,0.25,1.591796,0.2625,5e-05,96.4,3086.0
8.9,8.9,1,21,21,1.56306,0.125,1.590428,0.255952,5e-05,96.65,3088.5
9.06,9.06,1,22,22,1.533562,0.125,1.587843,0.25,5e-05,95.66,3086.0
9.23,9.23,1,23,23,1.440304,0.4375,1.581428,0.258152,5e-05,97.55,3088.5
9.39,9.39,1,24,24,1.44824,0.5,1.575879,0.268229,5e-05,96.06,3086.0
9.56,9.56,1,25,25,1.550313,0.375,1.574856,0.2725,5e-05,98.12,3088.5
9.72,9.72,1,26,26,1.530899,0.3125,1.573166,0.274038,5e-05,101.47,3086.0
9.87,9.87,1,27,27,1.449219,0.4375,1.568575,0.280093,5e-05,102.06,3088.5
10.03,10.03,1,28,28,1.543313,0.3125,1.567673,0.28125,5e-05,101.21,3086.0
10.19,10.19,1,29,29,1.475652,0.375,1.5645,0.284483,5e-05,101.38,3088.5
10.35,10.35,1,30,30,1.481432,0.3125,1.561731,0.285417,5e-05,101.14,3086.0
10.51,10.51,1,31,31,1.463017,0.3125,1.558546,0.28629,5e-05,100.35,3088.5
