elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.9,0.0,2389.684224,98,5075,70,2859.1,4013.9
31.0,102.2,2389.712896,99,5073,71,2424.3,4013.9
46.0,101.4,2767.716352,40,5112,62,3081.8,4037.0
61.0,100.8,2454.237184,99,5153,78,3088.5,4037.0
76.0,102.3,2454.245376,99,5139,80,2424.3,4037.0
91.0,93.1,2454.495232,99,5149,79,2943.5,4037.0
106.1,102.5,2454.50752,99,5228,78,3086.0,4037.0
121.1,102.2,2454.515712,99,5138,79,3086.0,4037.0
136.1,100.8,2454.683648,99,5151,69,2424.3,4037.0
151.2,102.2,2454.683648,99,5144,80,3088.5,4037.0
166.2,101.3,2454.745088,99,5125,78,3099.2,4037.0
181.2,100.9,2454.769664,99,5125,79,2424.3,4037.0
196.2,102.4,2454.769664,99,5127,77,3086.0,4037.0
211.3,99.8,2454.798336,98,5487,77,1757.2,4414.5
