wall_time,elapsed_s,epoch,global_step,step_in_epoch,loss,batch_acc,running_loss,running_acc,lr,samples_per_s,gpu_alloc_mb
5.62,5.62,1,1,1,1.619012,0.1875,1.619012,0.1875,5e-05,26.39,3088.3
5.78,5.78,1,2,2,1.598656,0.1875,1.608834,0.1875,5e-05,97.31,3086.4
5.95,5.95,1,3,3,1.665257,0.3125,1.627641,0.229167,5e-05,96.52,3087.0
6.12,6.12,1,4,4,1.667747,0.125,1.637668,0.203125,5e-05,95.85,3087.4
6.28,6.28,1,5,5,1.626459,0.125,1.635426,0.1875,5e-05,94.91,3087.0
6.45,6.45,1,6,6,1.679308,0.125,1.64274,0.177083,5e-05,94.8,3087.4
6.62,6.62,1,7,7,1.590868,0.375,1.635329,0.205357,5e-05,96.38,3087.0
6.78,6.78,1,8,8,1.585738,0.125,1.629131,0.195312,5e-05,97.52,3087.4
6.95,6.95,1,9,9,1.558697,0.4375,1.621305,0.222222,5e-05,96.47,3087.0
7.12,7.12,1,10,10,1.591885,0.25,1.618363,0.225,5e-05,96.24,3087.4
7.28,7.28,1,11,11,1.645536,0.1875,1.620833,0.221591,5e-05,96.13,3087.0
7.45,7.45,1,12,12,1.576119,0.3125,1.617107,0.229167,5e-05,95.38,3087.4
7.62,7.62,1,13,13,1.559824,0.375,1.612701,0.240385,5e-05,95.94,3087.0
7.79,7.79,1,14,14,1.523115,0.5,1.606302,0.258929,5e-05,97.13,3087.4
7.95,7.95,1,15,15,1.556995,0.3125,1.603014,0.2625,5e-05,96.32,3087.0
8.12,8.12,1,16,16,1.525833,0.5,1.598191,0.277344,5e-05,94.8,3087.4
8.29,8.29,1,17,17,1.507242,0.5,1.592841,0.290441,5e-05,96.04,3087.0
8.46,8.46,1,18,18,1.608676,0.25,1.59372,0.288194,5e-05,95.78,3087.4
8.62,8.62,1,19,19,1.540067,0.3125,1.590897,0.289474,5e-05,96.29,3087.0
8.79,8.79,1,20,20,1.520168,0.125,1.58736,0.28125,5e-05,97.03,3087.4
8.95,8.95,1,21,21,1.451489,0.5625,1.58089,0.294643,5e-05,97.66,3087.0
9.12,9.12,1,22,22,1.592186,0.25,1.581404,0.292614,5e-05,95.42,3087.4
9.29,9.29,1,23,23,1.43308,0.3125,1.574955,0.293478,5e-05,96.29,3087.0
9.46,9.46,1,24,24,1.449466,0.375,1.569726,0.296875,5e-05,94.71,3087.4
9.62,9.62,1,25,25,1.56092,0.375,1.569374,0.3,5e-05,95.81,3087.0
9.79,9.79,1,26,26,1.593841,0.25,1.570315,0.298077,5e-05,96.36,3087.4
9.95,9.95,1,27,27,1.388907,0.4375,1.563596,0.303241,5e-05,97.65,3087.0
10.12,10.12,1,28,28,1.448217,0.3125,1.559475,0.303571,5e-05,96.45,3087.4
10.29,10.29,1,29,29,1.515297,0.3125,1.557952,0.303879,5e-05,93.42,3087.0
10.46,10.46,1,30,30,1.369638,0.5,1.551675,0.310417,5e-05,95.15,3087.4
10.63,10.63,1,31,31,1.431294,0.375,1.547792,0.3125,5e-05,95.58,3087.0
10.79,10.79,1,32,32,1.438679,0.375,1.544382,0.314453,5e-05,96.93,3087.4
10.96,10.96,1,33,33,1.312689,0.5625,1.537361,0.32197,5e-05,95.34,3087.0
11.13,11.13,1,34,34,1.271403,0.6875,1.529539,0.332721,5e-05,95.54,3087.4
11.3,11.3,1,35,35,1.308676,0.625,1.523228,0.341071,5e-05,93.52,3087.0
11.47,11.47,1,36,36,1.426221,0.5625,1.520533,0.347222,5e-05,95.72,3087.4
11.64,11.64,1,37,37,1.313965,0.5625,1.514951,0.353041,5e-05,96.61,3087.0
11.8,11.8,1,38,38,1.255118,0.4375,1.508113,0.355263,5e-05,96.09,3087.4
11.97,11.97,1,39,39,1.364557,0.625,1.504432,0.362179,5e-05,95.79,3087.0
12.14,12.14,1,40,40,0.946136,0.8125,1.490475,0.373437,5e-05,95.89,3087.4
12.31,12.31,1,41,41,1.258028,0.5625,1.484805,0.378049,5e-05,94.58,3087.0
12.47,12.47,1,42,42,1.266991,0.5625,1.479619,0.38244,5e-05,96.08,3087.4
12.64,12.64,1,43,43,1.424148,0.4375,1.478329,0.383721,5e-05,96.4,3087.0
12.81,12.81,1,44,44,1.230976,0.4375,1.472707,0.384943,5e-05,96.6,3087.4
12.97,12.97,1,45,45,1.283275,0.625,1.468498,0.390278,5e-05,95.69,3087.0
13.14,13.14,1,46,46,1.505692,0.3125,1.469306,0.388587,5e-05,96.15,3087.4
13.31,13.31,1,47,47,1.390156,0.5,1.467622,0.390957,5e-05,94.51,3087.0
13.48,13.48,1,48,48,1.101178,0.625,1.459988,0.395833,5e-05,95.89,3087.4
13.64,13.64,1,49,49,1.327651,0.375,1.457287,0.395408,5e-05,96.68,3087.0
13.81,13.81,1,50,50,0.946318,0.75,1.447068,0.4025,5e-05,96.2,3087.4
13.98,13.98,1,51,51,1.081686,0.5625,1.439904,0.405637,5e-05,95.75,3087.0
14.15,14.15,1,52,52,1.453781,0.125,1.44017,0.40024,5e-05,95.62,3087.4
14.31,14.31,1,53,53,1.161567,0.5625,1.434914,0.403302,5e-05,95.77,3087.0
14.48,14.48,1,54,54,1.28797,0.4375,1.432193,0.403935,5e-05,95.5,3087.4
14.65,14.65,1,55,55,1.324163,0.4375,1.430228,0.404545,5e-05,97.09,3087.0
14.81,14.81,1,56,56,1.193317,0.4375,1.425998,0.405134,5e-05,96.86,3087.4
14.98,14.98,1,57,57,1.572231,0.3125,1.428563,0.403509,5e-05,96.73,3087.0
15.15,15.15,1,58,58,1.056875,0.5,1.422155,0.405172,5e-05,95.26,3087.4
15.31,15.31,1,59,59,1.12234,0.5,1.417073,0.40678,5e-05,95.83,3087.0
15.48,15.48,1,60,60,1.450194,0.375,1.417625,0.40625,5e-05,95.08,3087.4
15.65,15.65,1,61,61,1.214899,0.4375,1.414302,0.406762,5e-05,96.05,3087.0
15.82,15.82,1,62,62,1.298986,0.4375,1.412442,0.407258,5e-05,97.17,3087.4
15.98,15.98,1,63,63,1.314615,0.4375,1.410889,0.407738,5e-05,95.45,3087.0
16.15,16.15,1,64,64,1.159741,0.5,1.406965,0.40918,5e-05,94.75,3087.4
16.32,16.32,1,65,65,1.141406,0.5625,1.402879,0.411538,5e-05,94.23,3087.0
16.49,16.49,1,66,66,0.957141,0.625,1.396126,0.414773,5e-05,94.88,3087.4
16.66,16.66,1,67,67,1.000411,0.5625,1.39022,0.416978,5e-05,97.09,3087.0
16.82,16.82,1,68,68,1.01239,0.5625,1.384663,0.419118,5e-05,97.14,3087.4
16.99,16.99,1,69,69,1.035897,0.5625,1.379609,0.421196,5e-05,95.18,3087.0
17.16,17.16,1,70,70,0.953198,0.6875,1.373517,0.425,5e-05,95.97,3087.4
17.33,17.33,1,71,71,0.986568,0.625,1.368067,0.427817,5e-05,95.65,3087.0
17.49,17.49,1,72,72,1.133797,0.625,1.364813,0.430556,5e-05,96.1,3087.4
17.66,17.66,1,73,73,1.29004,0.3125,1.363789,0.428938,5e-05,96.44,3087.0
17.82,17.82,1,74,74,1.410095,0.25,1.364415,0.42652,5e-05,97.03,3087.4
17.99,17.99,1,75,75,1.507586,0.3125,1.366324,0.425,5e-05,96.06,3087.0
