elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
15.9,0.0,2389.303296,98,5117,76,3087.0,4028.6
31.0,102.1,2389.331968,99,5117,78,2442.9,4028.6
46.1,101.2,2767.392768,50,5139,62,3080.2,4051.7
61.1,100.6,2454.228992,99,5139,78,3134.0,4051.7
76.2,102.3,2454.228992,99,5125,80,2442.9,4051.7
91.2,99.8,2454.495232,98,5138,70,3573.9,4051.7
106.2,102.4,2454.511616,99,5117,78,3085.0,4051.7
121.3,102.3,2454.511616,99,5170,78,2442.9,4051.7
136.3,100.6,2454.605824,98,5166,70,3085.0,4051.7
151.3,102.4,2454.60992,99,5136,70,2442.2,4051.7
166.4,101.3,2454.679552,97,5127,78,3096.8,4051.7
181.4,100.4,2454.71232,99,5126,79,2442.2,4051.7
196.4,102.4,2454.71232,99,5111,78,2442.9,4051.7
211.4,100.5,2454.749184,99,5475,77,1755.8,4429.2
