wall_time,elapsed_s,epoch,global_step,step_in_epoch,loss,batch_acc,running_loss,running_acc,lr,samples_per_s,gpu_alloc_mb
5.74,5.74,1,1,1,1.583378,0.375,1.583378,0.375,5e-05,29.31,3071.6
5.85,5.85,1,2,2,1.589922,0.1875,1.58665,0.28125,5e-05,144.71,3069.7
5.97,5.97,1,3,3,1.661994,0.1875,1.611765,0.25,5e-05,143.81,3072.4
6.08,6.08,1,4,4,1.598707,0.375,1.6085,0.28125,5e-05,142.57,3072.4
6.19,6.19,1,5,5,1.488287,0.25,1.584458,0.275,5e-05,140.29,3072.4
6.31,6.31,1,6,6,1.635059,0.125,1.592891,0.25,5e-05,141.73,3072.4
6.42,6.42,1,7,7,1.43537,0.5,1.570388,0.285714,5e-05,142.37,3072.4
6.53,6.53,1,8,8,1.680383,0.1875,1.584138,0.273438,5e-05,141.83,3072.4
6.64,6.64,1,9,9,1.51742,0.125,1.576725,0.256944,5e-05,143.11,3072.4
6.76,6.76,1,10,10,1.689319,0.1875,1.587984,0.25,5e-05,142.33,3072.4
6.87,6.87,1,11,11,1.664588,0.3125,1.594948,0.255682,5e-05,141.67,3072.4
6.98,6.98,1,12,12,1.449169,0.375,1.5828,0.265625,5e-05,143.02,3072.4
7.1,7.1,1,13,13,1.451009,0.3125,1.572662,0.269231,5e-05,141.82,3072.4
7.21,7.21,1,14,14,1.565707,0.3125,1.572165,0.272321,5e-05,140.73,3072.4
7.32,7.32,1,15,15,1.539769,0.1875,1.570006,0.266667,5e-05,141.13,3072.4
7.44,7.44,1,16,16,1.600103,0.25,1.571887,0.265625,5e-05,138.81,3072.4
7.56,7.56,1,17,17,1.556922,0.375,1.571006,0.272059,5e-05,135.87,3072.4
7.67,7.67,1,18,18,1.516392,0.3125,1.567972,0.274306,5e-05,137.88,3072.4
7.79,7.79,1,19,19,1.540607,0.3125,1.566532,0.276316,5e-05,140.13,3072.4
7.9,7.9,1,20,20,1.571277,0.3125,1.566769,0.278125,5e-05,140.13,3072.4
8.02,8.02,1,21,21,1.516069,0.3125,1.564355,0.279762,5e-05,137.12,3072.4
8.14,8.14,1,22,22,1.475691,0.3125,1.560325,0.28125,5e-05,136.1,3072.4
8.26,8.26,1,23,23,1.370206,0.6875,1.552059,0.298913,5e-05,133.02,3072.4
8.38,8.38,1,24,24,1.527022,0.3125,1.551016,0.299479,5e-05,134.47,3072.4
8.5,8.5,1,25,25,1.378759,0.4375,1.544125,0.305,5e-05,135.71,3072.4
8.62,8.62,1,26,26,1.412437,0.4375,1.53906,0.310096,5e-05,135.01,3072.4
8.73,8.73,1,27,27,1.355012,0.5,1.532244,0.31713,5e-05,136.96,3072.4
8.85,8.85,1,28,28,1.51066,0.3125,1.531473,0.316964,5e-05,142.68,3072.4
8.96,8.96,1,29,29,1.490299,0.25,1.530053,0.314655,5e-05,141.43,3072.4
9.07,9.07,1,30,30,1.453563,0.375,1.527503,0.316667,5e-05,141.35,3072.4
9.19,9.19,1,31,31,1.265362,0.4375,1.519047,0.320565,5e-05,141.21,3072.4
9.3,9.3,1,32,32,1.32616,0.3125,1.51302,0.320312,5e-05,140.05,3072.4
9.41,9.41,1,33,33,1.282373,0.4375,1.50603,0.323864,5e-05,142.7,3072.4
9.53,9.53,1,34,34,1.501391,0.3125,1.505894,0.323529,5e-05,142.68,3072.4
9.64,9.64,1,35,35,1.468329,0.3125,1.504821,0.323214,5e-05,141.85,3072.4
9.75,9.75,1,36,36,1.241412,0.4375,1.497504,0.326389,5e-05,141.37,3072.4
9.87,9.87,1,37,37,1.454152,0.25,1.496332,0.324324,5e-05,141.89,3072.4
9.98,9.98,1,38,38,1.405045,0.25,1.49393,0.322368,5e-05,141.18,3072.4
10.1,10.1,1,39,39,1.387474,0.375,1.4912,0.323718,5e-05,140.71,3072.4
10.21,10.21,1,40,40,1.241608,0.5,1.48496,0.328125,5e-05,142.84,3072.4
10.32,10.32,1,41,41,1.309287,0.375,1.480676,0.329268,5e-05,140.27,3072.4
10.44,10.44,1,42,42,1.156118,0.625,1.472948,0.33631,5e-05,141.1,3072.4
10.55,10.55,1,43,43,1.297665,0.375,1.468872,0.337209,5e-05,141.8,3072.4
10.66,10.66,1,44,44,1.321605,0.3125,1.465525,0.336648,5e-05,141.84,3072.4
10.78,10.78,1,45,45,1.566451,0.1875,1.467767,0.333333,5e-05,141.17,3072.4
10.89,10.89,1,46,46,1.165512,0.5,1.461197,0.336957,5e-05,143.08,3072.4
