wall_time,elapsed_s,epoch,global_step,step_in_epoch,loss,batch_acc,running_loss,running_acc,lr,samples_per_s,gpu_alloc_mb
5.7,5.7,1,1,1,1.585602,0.3125,1.585602,0.3125,5e-05,27.61,3071.6
5.82,5.82,1,2,2,1.588545,0.1875,1.587073,0.25,5e-05,141.93,3069.7
5.93,5.93,1,3,3,1.654333,0.1875,1.609493,0.229167,5e-05,143.65,3072.4
6.04,6.04,1,4,4,1.59379,0.375,1.605567,0.265625,5e-05,140.19,3072.4
6.16,6.16,1,5,5,1.483631,0.1875,1.58118,0.25,5e-05,141.38,3072.4
6.27,6.27,1,6,6,1.639416,0.1875,1.590886,0.239583,5e-05,140.85,3072.4
6.38,6.38,1,7,7,1.429217,0.4375,1.56779,0.267857,5e-05,140.86,3072.4
6.5,6.5,1,8,8,1.671392,0.1875,1.580741,0.257812,5e-05,142.12,3072.4
6.61,6.61,1,9,9,1.544589,0.1875,1.576724,0.25,5e-05,141.88,3072.4
6.72,6.72,1,10,10,1.696825,0.1875,1.588734,0.24375,5e-05,140.67,3072.4
6.84,6.84,1,11,11,1.662473,0.3125,1.595437,0.25,5e-05,140.75,3072.4
6.95,6.95,1,12,12,1.439859,0.375,1.582473,0.260417,5e-05,141.45,3072.4
7.07,7.07,1,13,13,1.45952,0.25,1.573015,0.259615,5e-05,139.72,3072.4
7.18,7.18,1,14,14,1.582328,0.3125,1.57368,0.263393,5e-05,141.32,3072.4
7.29,7.29,1,15,15,1.513242,0.1875,1.569651,0.258333,5e-05,142.91,3072.4
7.41,7.41,1,16,16,1.582067,0.25,1.570427,0.257812,5e-05,141.21,3072.4
7.52,7.52,1,17,17,1.550032,0.375,1.569227,0.264706,5e-05,142.26,3072.4
7.63,7.63,1,18,18,1.497843,0.375,1.565261,0.270833,5e-05,139.97,3072.4
7.75,7.75,1,19,19,1.534788,0.25,1.563657,0.269737,5e-05,140.88,3072.4
7.86,7.86,1,20,20,1.569608,0.375,1.563955,0.275,5e-05,140.61,3072.4
7.98,7.98,1,21,21,1.505162,0.375,1.561155,0.279762,5e-05,141.6,3072.4
8.09,8.09,1,22,22,1.494049,0.3125,1.558105,0.28125,5e-05,140.93,3072.4
8.2,8.2,1,23,23,1.368863,0.5625,1.549877,0.293478,5e-05,140.72,3072.4
8.32,8.32,1,24,24,1.530737,0.375,1.54908,0.296875,5e-05,140.59,3072.4
8.43,8.43,1,25,25,1.355936,0.5625,1.541354,0.3075,5e-05,140.65,3072.4
8.55,8.55,1,26,26,1.406509,0.4375,1.536168,0.3125,5e-05,140.92,3072.4
8.66,8.66,1,27,27,1.368023,0.5625,1.52994,0.321759,5e-05,139.62,3072.4
8.77,8.77,1,28,28,1.507179,0.3125,1.529127,0.321429,5e-05,142.51,3072.4
8.89,8.89,1,29,29,1.48723,0.25,1.527682,0.318966,5e-05,139.27,3072.4
9.0,9.0,1,30,30,1.430035,0.375,1.524427,0.320833,5e-05,141.18,3072.4
9.12,9.12,1,31,31,1.257224,0.375,1.515808,0.322581,5e-05,139.98,3072.4
9.23,9.23,1,32,32,1.314742,0.3125,1.509525,0.322266,5e-05,139.62,3072.4
9.35,9.35,1,33,33,1.292382,0.375,1.502945,0.323864,5e-05,138.84,3072.4
9.46,9.46,1,34,34,1.522275,0.3125,1.503513,0.323529,5e-05,141.79,3072.4
9.58,9.58,1,35,35,1.461302,0.4375,1.502307,0.326786,5e-05,141.18,3072.4
9.69,9.69,1,36,36,1.22701,0.4375,1.49466,0.329861,5e-05,139.31,3072.4
9.81,9.81,1,37,37,1.410036,0.375,1.492373,0.331081,5e-05,137.4,3072.4
9.92,9.92,1,38,38,1.401578,0.3125,1.489983,0.330592,5e-05,138.18,3072.4
10.04,10.04,1,39,39,1.465776,0.3125,1.489363,0.330128,5e-05,137.95,3072.4
10.16,10.16,1,40,40,1.231061,0.4375,1.482905,0.332813,5e-05,136.62,3072.4
10.27,10.27,1,41,41,1.32715,0.3125,1.479106,0.332317,5e-05,138.49,3072.4
10.39,10.39,1,42,42,1.162227,0.6875,1.471562,0.340774,5e-05,135.49,3072.4
10.51,10.51,1,43,43,1.303338,0.4375,1.467649,0.343023,5e-05,138.19,3072.4
10.62,10.62,1,44,44,1.314118,0.375,1.46416,0.34375,5e-05,141.44,3072.4
10.74,10.74,1,45,45,1.517192,0.1875,1.465338,0.340278,5e-05,140.28,3072.4
10.85,10.85,1,46,46,1.118648,0.5,1.457802,0.34375,5e-05,139.0,3072.4
10.97,10.97,1,47,47,1.375525,0.3125,1.456051,0.343085,5e-05,142.31,3072.4
11.08,11.08,1,48,48,1.250424,0.4375,1.451767,0.345052,5e-05,141.67,3072.4
11.19,11.19,1,49,49,1.45325,0.4375,1.451798,0.346939,5e-05,141.64,3072.4
11.31,11.31,1,50,50,1.041711,0.6875,1.443596,0.35375,5e-05,140.25,3072.4
11.42,11.42,1,51,51,1.038953,0.5625,1.435662,0.357843,5e-05,140.35,3072.4
11.53,11.53,1,52,52,1.412493,0.375,1.435216,0.358173,5e-05,141.43,3072.4
11.65,11.65,1,53,53,1.189348,0.5625,1.430577,0.362028,5e-05,142.86,3072.4
11.76,11.76,1,54,54,1.268993,0.4375,1.427585,0.363426,5e-05,141.7,3072.4
11.88,11.88,1,55,55,1.206013,0.4375,1.423556,0.364773,5e-05,139.16,3072.4
11.99,11.99,1,56,56,0.869895,0.625,1.413669,0.36942,5e-05,140.09,3072.4
12.11,12.11,1,57,57,1.137335,0.625,1.408821,0.373904,5e-05,140.0,3072.4
12.22,12.22,1,58,58,1.081369,0.5625,1.403176,0.377155,5e-05,141.71,3072.4
12.33,12.33,1,59,59,0.966713,0.625,1.395778,0.381356,5e-05,142.13,3072.4
12.45,12.45,1,60,60,1.299346,0.5,1.394171,0.383333,5e-05,142.11,3072.4
12.56,12.56,1,61,61,1.120581,0.625,1.389686,0.387295,5e-05,140.94,3072.4
12.67,12.67,1,62,62,0.899183,0.6875,1.381774,0.392137,5e-05,141.48,3072.4
12.79,12.79,1,63,63,1.313394,0.4375,1.380689,0.392857,5e-05,139.98,3072.4
12.9,12.9,1,64,64,1.020604,0.5,1.375063,0.394531,5e-05,139.82,3072.4
13.02,13.02,1,65,65,1.057579,0.5,1.370178,0.396154,5e-05,141.63,3072.4
13.13,13.13,1,66,66,1.019302,0.625,1.364862,0.399621,5e-05,142.22,3072.4
13.24,13.24,1,67,67,1.379587,0.375,1.365082,0.399254,5e-05,141.16,3072.4
13.36,13.36,1,68,68,0.919564,0.6875,1.35853,0.403493,5e-05,140.01,3072.4
13.47,13.47,1,69,69,1.138986,0.5625,1.355348,0.405797,5e-05,139.45,3072.4
