wall_time,elapsed_s,epoch,global_step,step_in_epoch,loss,batch_acc,running_loss,running_acc,lr,samples_per_s,gpu_alloc_mb
5.53,5.53,1,1,1,1.598171,0.1875,1.598171,0.1875,5e-05,28.79,3071.6
5.64,5.64,1,2,2,1.734472,0.125,1.666322,0.15625,5e-05,142.8,3069.7
5.75,5.75,1,3,3,1.672382,0.125,1.668342,0.145833,5e-05,141.73,3072.4
5.87,5.87,1,4,4,1.574886,0.3125,1.644978,0.1875,5e-05,139.34,3072.4
5.98,5.98,1,5,5,1.611571,0.3125,1.638296,0.2125,5e-05,138.29,3072.4
6.1,6.1,1,6,6,1.479104,0.5625,1.611764,0.270833,5e-05,137.71,3072.4
6.22,6.22,1,7,7,1.622301,0.1875,1.61327,0.258929,5e-05,135.44,3072.4
6.34,6.34,1,8,8,1.598841,0.3125,1.611466,0.265625,5e-05,137.64,3072.4
6.45,6.45,1,9,9,1.603335,0.3125,1.610563,0.270833,5e-05,138.13,3072.4
6.57,6.57,1,10,10,1.578051,0.25,1.607311,0.26875,5e-05,138.14,3072.4
6.68,6.68,1,11,11,1.460747,0.5625,1.593987,0.295455,5e-05,138.96,3072.4
6.8,6.8,1,12,12,1.518808,0.4375,1.587722,0.307292,5e-05,139.92,3072.4
6.91,6.91,1,13,13,1.578075,0.3125,1.58698,0.307692,5e-05,141.09,3072.4
7.03,7.03,1,14,14,1.550507,0.4375,1.584375,0.316964,5e-05,142.19,3072.4
7.14,7.14,1,15,15,1.649519,0.1875,1.588718,0.308333,5e-05,140.95,3072.4
7.26,7.26,1,16,16,1.673145,0.125,1.593995,0.296875,5e-05,138.88,3072.4
7.37,7.37,1,17,17,1.484809,0.375,1.587572,0.301471,5e-05,137.79,3072.4
7.49,7.49,1,18,18,1.595401,0.3125,1.588007,0.302083,5e-05,137.6,3072.4
7.6,7.6,1,19,19,1.426292,0.5,1.579496,0.3125,5e-05,139.3,3072.4
7.72,7.72,1,20,20,1.58332,0.1875,1.579687,0.30625,5e-05,139.51,3072.4
7.83,7.83,1,21,21,1.4688,0.375,1.574407,0.309524,5e-05,141.46,3072.4
7.95,7.95,1,22,22,1.477885,0.4375,1.570019,0.315341,5e-05,138.46,3072.4
8.06,8.06,1,23,23,1.513129,0.3125,1.567546,0.315217,5e-05,140.34,3072.4
8.18,8.18,1,24,24,1.459748,0.3125,1.563054,0.315104,5e-05,140.18,3072.4
8.29,8.29,1,25,25,1.482638,0.3125,1.559837,0.315,5e-05,138.75,3072.4
8.41,8.41,1,26,26,1.494234,0.375,1.557314,0.317308,5e-05,141.76,3072.4
8.52,8.52,1,27,27,1.522695,0.375,1.556032,0.319444,5e-05,141.89,3072.4
8.63,8.63,1,28,28,1.263028,0.6875,1.545568,0.332589,5e-05,140.43,3072.4
8.75,8.75,1,29,29,1.368635,0.5,1.539466,0.338362,5e-05,139.6,3072.4
8.87,8.87,1,30,30,1.298937,0.5625,1.531449,0.345833,5e-05,138.42,3072.4
8.98,8.98,1,31,31,1.385988,0.4375,1.526757,0.34879,5e-05,139.91,3072.4
9.09,9.09,1,32,32,1.358073,0.5,1.521485,0.353516,5e-05,141.08,3072.4
9.21,9.21,1,33,33,1.505502,0.1875,1.521001,0.348485,5e-05,141.04,3072.4
9.32,9.32,1,34,34,1.456138,0.4375,1.519093,0.351103,5e-05,138.55,3072.4
9.44,9.44,1,35,35,1.255151,0.4375,1.511552,0.353571,5e-05,140.27,3072.4
9.55,9.55,1,36,36,1.439199,0.25,1.509542,0.350694,5e-05,139.46,3072.4
9.67,9.67,1,37,37,1.231527,0.6875,1.502028,0.359797,5e-05,139.86,3072.4
9.79,9.79,1,38,38,1.274558,0.5,1.496042,0.363487,5e-05,137.47,3072.4
9.9,9.9,1,39,39,1.238142,0.5625,1.489429,0.36859,5e-05,140.28,3072.4
10.01,10.01,1,40,40,1.216393,0.5625,1.482603,0.373437,5e-05,140.42,3072.4
10.13,10.13,1,41,41,1.291879,0.625,1.477952,0.379573,5e-05,140.58,3072.4
10.24,10.24,1,42,42,1.284231,0.375,1.473339,0.379464,5e-05,139.06,3072.4
10.36,10.36,1,43,43,1.293809,0.4375,1.469164,0.380814,5e-05,140.45,3072.4
10.47,10.47,1,44,44,1.37875,0.25,1.467109,0.377841,5e-05,138.98,3072.4
10.59,10.59,1,45,45,1.254639,0.5,1.462388,0.380556,5e-05,140.08,3072.4
