wall_time,elapsed_s,epoch,global_step,step_in_epoch,loss,batch_acc,running_loss,running_acc,lr,samples_per_s,gpu_alloc_mb
5.66,5.66,1,1,1,1.593736,0.0,1.593736,0.0,5e-05,27.33,3091.3
5.82,5.82,1,2,2,1.593791,0.3125,1.593763,0.15625,5e-05,99.64,3086.5
5.98,5.98,1,3,3,1.612365,0.1875,1.599964,0.166667,5e-05,99.73,3088.5
6.14,6.14,1,4,4,1.658981,0.0625,1.614718,0.140625,5e-05,99.85,3086.0
6.31,6.31,1,5,5,1.611722,0.25,1.614119,0.1625,5e-05,99.17,3088.5
6.47,6.47,1,6,6,1.629781,0.125,1.616729,0.15625,5e-05,99.35,3086.0
6.63,6.63,1,7,7,1.523259,0.3125,1.603376,0.178571,5e-05,100.05,3088.5
6.79,6.79,1,8,8,1.621808,0.3125,1.60568,0.195312,5e-05,99.63,3086.0
6.95,6.95,1,9,9,1.545831,0.375,1.59903,0.215278,5e-05,98.55,3088.5
7.11,7.11,1,10,10,1.728459,0.125,1.611973,0.20625,5e-05,99.67,3086.0
7.27,7.27,1,11,11,1.559542,0.375,1.607207,0.221591,5e-05,99.52,3088.5
7.43,7.43,1,12,12,1.561677,0.1875,1.603413,0.21875,5e-05,99.99,3086.0
7.6,7.6,1,13,13,1.642707,0.125,1.606435,0.211538,5e-05,98.85,3088.5
7.76,7.76,1,14,14,1.578352,0.375,1.604429,0.223214,5e-05,99.73,3086.0
7.92,7.92,1,15,15,1.62416,0.125,1.605745,0.216667,5e-05,99.11,3088.5
8.08,8.08,1,16,16,1.640366,0.125,1.607909,0.210938,5e-05,99.08,3086.0
8.24,8.24,1,17,17,1.539012,0.3125,1.603856,0.216912,5e-05,99.98,3088.5
8.4,8.4,1,18,18,1.58071,0.3125,1.60257,0.222222,5e-05,99.5,3086.0
8.57,8.57,1,19,19,1.518947,0.4375,1.598169,0.233553,5e-05,98.41,3088.5
8.73,8.73,1,20,20,1.443231,0.5625,1.590422,0.25,5e-05,98.53,3086.0
8.89,8.89,1,21,21,1.441631,0.5,1.583337,0.261905,5e-05,97.48,3088.5
9.06,9.06,1,22,22,1.576124,0.125,1.583009,0.255682,5e-05,96.72,3086.0
9.23,9.23,1,23,23,1.529305,0.375,1.580674,0.26087,5e-05,96.05,3088.5
9.39,9.39,1,24,24,1.391959,0.625,1.572811,0.276042,5e-05,98.17,3086.0
9.55,9.55,1,25,25,1.582297,0.4375,1.57319,0.2825,5e-05,99.17,3088.5
9.71,9.71,1,26,26,1.517984,0.5,1.571067,0.290865,5e-05,99.86,3086.0
9.87,9.87,1,27,27,1.363297,0.5625,1.563372,0.300926,5e-05,98.93,3088.5
10.04,10.04,1,28,28,1.557609,0.1875,1.563166,0.296875,5e-05,98.92,3086.0
10.2,10.2,1,29,29,1.372511,0.625,1.556592,0.30819,5e-05,99.18,3088.5
10.36,10.36,1,30,30,1.528498,0.3125,1.555655,0.308333,5e-05,98.94,3086.0
10.52,10.52,1,31,31,1.593242,0.125,1.556868,0.302419,5e-05,99.12,3088.5
