elapsed_s,cpu_percent,rss_mb,gpu_util_percent,gpu_mem_used_mb,gpu_temp_c,torch_alloc_mb,torch_reserved_mb
16.0,0.0,2390.151168,99,5046,73,3088.5,4013.9
31.0,102.3,2390.171648,99,5101,72,2424.3,4013.9
46.0,100.6,2455.01952,19,5127,56,3081.8,4037.0
61.0,101.9,2455.064576,99,5083,80,2424.3,4037.0
76.1,102.4,2455.064576,99,5079,77,2441.6,4037.0
91.1,99.6,2455.330816,99,5084,78,2424.3,4037.0
106.1,102.2,2455.334912,99,5083,73,3088.5,4037.0
121.2,102.3,2455.339008,99,5086,78,3088.5,4037.0
136.2,100.0,2455.527424,99,5080,69,2424.3,4037.0
151.2,102.3,2455.527424,99,5080,78,2424.3,4037.0
166.2,101.4,2455.527424,99,5084,78,3081.8,4037.0
181.3,101.1,2455.53152,99,5084,79,3086.0,4037.0
196.3,102.3,2455.539712,99,5084,75,2424.3,4037.0
