spec,n_seeds,block,trainable_params,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,acc_mean,wf1_mean
all,3,,1192193,0.655923082845648,0.0031575561283529834,0.653050796917063,0.659304127057315,0.646978021978022,0.6476073157703658
b00,3,0.0,101697,0.6324639138787211,0.007658131201320129,0.6279814948415278,0.6413064803167615,0.6227106227106227,0.6233067394405308
b01,1,1.0,101697,0.6443605603535231,0.0,0.6443605603535231,0.6443605603535231,0.6373626373626373,0.6363889720013508
b02,1,2.0,101697,0.6450545035902413,0.0,0.6450545035902413,0.6450545035902413,0.6401098901098901,0.6381233407734087
b03,1,3.0,101697,0.655248103521201,0.0,0.655248103521201,0.655248103521201,0.6483516483516484,0.6476559336587219
b04,1,4.0,101697,0.646418903003547,0.0,0.646418903003547,0.646418903003547,0.6387362637362637,0.638110560729995
b05,1,5.0,101697,0.6578598949825322,0.0,0.6578598949825322,0.6578598949825322,0.6497252747252747,0.6496891876482493
b06,1,6.0,101697,0.6509620325941418,0.0,0.6509620325941418,0.6509620325941418,0.6414835164835165,0.6414931783363256
b07,1,7.0,101697,0.6655242130280474,0.0,0.6655242130280474,0.6655242130280474,0.6552197802197802,0.6568083229337033
b08,3,8.0,101697,0.6595576628751761,0.010354163245865924,0.6489717057396591,0.6696633153531211,0.6501831501831502,0.6506540499084023
b09,1,9.0,101697,0.6614364773450057,0.0,0.6614364773450057,0.6614364773450057,0.6524725274725275,0.6525917143578532
b10,1,10.0,101697,0.6444827243428811,0.0,0.6444827243428811,0.6444827243428811,0.6373626373626373,0.6348341453425925
b11,1,11.0,101697,0.6325626929338045,0.0,0.6325626929338045,0.6325626929338045,0.625,0.6248077195859766
head_only,3,,2561,0.6388687132008604,0.00572718196025817,0.634579834661299,0.6453725966852829,0.6277472527472527,0.6295295820493321
