run,modality,text,visual,embedding,A,P,R,WF,macroF1,MMAE,degenerate
mulad_cnn_vgg16_keras,multimodal,cnn,vgg16,keras,0.558,0.555,0.558,0.556,0.562,0.963,False
mulad_bilstm_vgg19_keras,multimodal,bilstm,vgg19,keras,0.548,0.551,0.548,0.547,0.554,0.988,False
mulad_bilstm_vgg16_keras,multimodal,bilstm,vgg16,keras,0.54,0.541,0.54,0.538,0.545,1.028,False
mulad_cnn_vgg16_fasttext,multimodal,cnn,vgg16,fasttext,0.53,0.531,0.53,0.53,0.538,1.038,False
mulad_bilstm_cnn_vgg16_keras,multimodal,bilstm_cnn,vgg16,keras,0.532,0.533,0.532,0.529,0.532,1.041,False
mulad_cnn_vgg16_selftrained,multimodal,cnn,vgg16,selftrained,0.522,0.524,0.522,0.523,0.531,1.066,False
mulad_cnn_vgg19_keras,multimodal,cnn,vgg19,keras,0.521,0.529,0.521,0.52,0.524,1.04,False
mulad_bilstm_cnn_vgg19_keras,multimodal,bilstm_cnn,vgg19,keras,0.514,0.525,0.514,0.516,0.524,1.07,False
mulad_cnn_vgg19_selftrained,multimodal,cnn,vgg19,selftrained,0.515,0.523,0.515,0.514,0.519,1.07,False
mulad_bilstm_vgg16_selftrained,multimodal,bilstm,vgg16,selftrained,0.511,0.521,0.511,0.511,0.517,1.114,False
mulad_bilstm_vgg16_fasttext,multimodal,bilstm,vgg16,fasttext,0.516,0.512,0.516,0.511,0.516,1.057,False
mulad_bilstm_cnn_vgg16_selftrained,multimodal,bilstm_cnn,vgg16,selftrained,0.516,0.507,0.516,0.509,0.514,1.03,False
mulad_visual_vgg16,visual,-,vgg16,-,0.505,0.522,0.505,0.509,0.516,1.155,False
mulad_bilstm_vgg19_selftrained,multimodal,bilstm,vgg19,selftrained,0.501,0.541,0.501,0.506,0.513,1.17,False
mulad_cnn_vgg19_fasttext,multimodal,cnn,vgg19,fasttext,0.504,0.509,0.504,0.506,0.512,1.085,False
mulad_text_bilstm_keras,text,bilstm,-,keras,0.5,0.512,0.5,0.504,0.512,1.067,False
mulad_bilstm_cnn_vgg19_selftrained,multimodal,bilstm_cnn,vgg19,selftrained,0.508,0.518,0.508,0.5,0.506,1.049,False
mulad_bilstm_cnn_vgg19_fasttext,multimodal,bilstm_cnn,vgg19,fasttext,0.507,0.497,0.507,0.5,0.507,1.038,False
mulad_bilstm_cnn_vgg16_fasttext,multimodal,bilstm_cnn,vgg16,fasttext,0.499,0.496,0.499,0.494,0.499,1.106,False
mulad_bilstm_resnet50_keras,multimodal,bilstm,resnet50,keras,0.489,0.506,0.489,0.491,0.494,1.097,False
mulad_bilstm_vgg19_fasttext,multimodal,bilstm,vgg19,fasttext,0.492,0.495,0.492,0.49,0.499,1.067,False
mulad_visual_resnet50,visual,-,resnet50,-,0.501,0.497,0.501,0.482,0.486,1.147,False
mulad_visual_vgg19,visual,-,vgg19,-,0.467,0.466,0.467,0.456,0.46,1.153,False
mulad_cnn_resnet50_keras,multimodal,cnn,resnet50,keras,0.453,0.46,0.453,0.454,0.458,1.16,False
mulad_text_cnn_keras,text,cnn,-,keras,0.455,0.456,0.455,0.453,0.456,1.122,False
mulad_text_bilstm_cnn_keras,text,bilstm_cnn,-,keras,0.445,0.463,0.445,0.447,0.45,1.238,False
mulad_bilstm_cnn_resnet50_keras,multimodal,bilstm_cnn,resnet50,keras,0.437,0.484,0.437,0.445,0.45,1.272,False
mulad_cnn_resnet50_selftrained,multimodal,cnn,resnet50,selftrained,0.386,0.37,0.386,0.366,0.369,1.247,False
mulad_text_cnn_selftrained,text,cnn,-,selftrained,0.348,0.346,0.348,0.34,0.333,1.387,False
mulad_cnn_resnet50_fasttext,multimodal,cnn,resnet50,fasttext,0.4,0.359,0.4,0.327,0.327,1.289,False
mulad_bilstm_resnet50_selftrained,multimodal,bilstm,resnet50,selftrained,0.334,0.322,0.334,0.321,0.315,1.323,False
mulad_text_bilstm_cnn_fasttext,text,bilstm_cnn,-,fasttext,0.346,0.353,0.346,0.321,0.317,1.412,False
mulad_bilstm_resnet50_fasttext,multimodal,bilstm,resnet50,fasttext,0.352,0.343,0.352,0.306,0.3,1.377,False
mulad_text_bilstm_selftrained,text,bilstm,-,selftrained,0.328,0.314,0.328,0.306,0.301,1.288,False
mulad_bilstm_cnn_resnet50_fasttext,multimodal,bilstm_cnn,resnet50,fasttext,0.341,0.329,0.341,0.302,0.294,1.365,False
mulad_bilstm_cnn_resnet50_selftrained,multimodal,bilstm_cnn,resnet50,selftrained,0.32,0.302,0.32,0.292,0.28,1.439,False
mulad_text_bilstm_fasttext,text,bilstm,-,fasttext,0.326,0.306,0.326,0.285,0.276,1.417,False
mulad_text_bilstm_cnn_selftrained,text,bilstm_cnn,-,selftrained,0.306,0.301,0.306,0.272,0.262,1.308,False
mulad_text_cnn_fasttext,text,cnn,-,fasttext,0.31,0.233,0.31,0.239,0.228,1.492,False
